Enzyme	BGC	Function	Order	Type
Enzyme_1	3PGA_AMINOACIDS	Phosphoglycerate_dehydrogenase	1	Central
Enzyme_2	3PGA_AMINOACIDS	Phosphoserine_aminotransferase	2	Central
Enzyme_3	3PGA_AMINOACIDS	Phosphoserine_Phosphatase	3	Central
Enzyme_4	3PGA_AMINOACIDS	glycine_hydroxymethyltransferase	4	Central
Enzyme_5	3PGA_AMINOACIDS	serine_O_acetyltransferase	5	Central
Enzyme_6	3PGA_AMINOACIDS	Cysteine_synthase	6	Central
Enzyme_7	glyccolysis	Glucose_kinase	7	Central
Enzyme_8	glyccolysis	Glucose_6_phosphate_isomerase	8	Central
Enzyme_9	glyccolysis	Phosphofructokinase	9	Central
Enzyme_10	glyccolysis	Fructose_biphosphate_aldolase	10	Central
Enzyme_11	glyccolysis	Triosephosphate_isomerase	11	Central
Enzyme_12	glyccolysis	glyceraldehyde3phosphate_dehydrogenase	12	Central
Enzyme_13	glyccolysis	phosphoglycerate_kinase	13	Central
Enzyme_14	glyccolysis	phosphoglycerate_mutase	14	Central
Enzyme_15	glyccolysis	enolase	15	Central
Enzyme_16	glyccolysis	Pyruvate_kinase	16	Central
Enzyme_17	OXALACETATE_AMINOACIDS	Aspartate_transaminase	17	Central
Enzyme_18	OXALACETATE_AMINOACIDS	Asparagine_synthase	18	Central
Enzyme_19	OXALACETATE_AMINOACIDS	Aspartate_kinase	19	Central
Enzyme_20	OXALACETATE_AMINOACIDS	Aspartate_semialdehyde_dehydrogenase	20	Central
Enzyme_21	OXALACETATE_AMINOACIDS	Homoserine_dehydrogenase	21	Central
Enzyme_22	OXALACETATE_AMINOACIDS	Homoserine_kinase	22	Central
Enzyme_23	OXALACETATE_AMINOACIDS	Threonine_synthase	23	Central
Enzyme_24	OXALACETATE_AMINOACIDS	dihydropicolinate_synthase	24	Central
Enzyme_25	OXALACETATE_AMINOACIDS	dihydropicolinate_reductase	25	Central
Enzyme_26	OXALACETATE_AMINOACIDS	Tetrahydrodipicolinate_N_succinyl_transferase	26	Central
Enzyme_27	OXALACETATE_AMINOACIDS	succinyldiaminopimelate_transaminase	27	Central
Enzyme_28	OXALACETATE_AMINOACIDS	succinyl_diaminopimelate_desuccinylase	28	Central
Enzyme_29	OXALACETATE_AMINOACIDS	diaminopimelate_epimerase	29	Central
Enzyme_30	OXALACETATE_AMINOACIDS	diaminopimelate_decarboxylase	30	Central
Enzyme_31	OXALACETATE_AMINOACIDS	Homoserine_O_succinyltransferase	31	Central
Enzyme_32	OXALACETATE_AMINOACIDS	cystathione_gamma_synthetase	32	Central
Enzyme_33	OXALACETATE_AMINOACIDS	cystathione_beta_lyase	33	Central
Enzyme_34	OXALACETATE_AMINOACIDS	Methionine_synthase	34	Central
