Genomes	Enzyme_1	Enzyme_2	Enzyme_3	Enzyme_4	Enzyme_5	Enzyme_6	Enzyme_7	Enzyme_8	Enzyme_9	Enzyme_10	Enzyme_11	Enzyme_12	Enzyme_13	Enzyme_14	Enzyme_15	Enzyme_16	Enzyme_17	Enzyme_18	Enzyme_19	Enzyme_20	Enzyme_21	Enzyme_22	Enzyme_23	Enzyme_24	Enzyme_25	Enzyme_26	Enzyme_27	Enzyme_28	Enzyme_29	Enzyme_30	Enzyme_31	Enzyme_32	Enzyme_33	Enzyme_34	Enzyme_35	Enzyme_36	Enzyme_37	Enzyme_38	Enzyme_39	Enzyme_40	Enzyme_41	Enzyme_42	Enzyme_43	Enzyme_44	Enzyme_45	Enzyme_46	Enzyme_47	Enzyme_48	Enzyme_49	Enzyme_50	Enzyme_51	Enzyme_52	Enzyme_53	Enzyme_54	Enzyme_55	Enzyme_56	Enzyme_57	Enzyme_58	Enzyme_59	Enzyme_60	Enzyme_61	Enzyme_62	Enzyme_63	Enzyme_64	Enzyme_65	Enzyme_66	Enzyme_67	Enzyme_68	Enzyme_69	Enzyme_70	Enzyme_71	Enzyme_72	Enzyme_73	Enzyme_74	Enzyme_75	Enzyme_76	Enzyme_77	Enzyme_78	Enzyme_79	Enzyme_80	Enzyme_81	Enzyme_82	Enzyme_83	Enzyme_84	Enzyme_85	Enzyme_86	Enzyme_87	Enzyme_88	Enzyme_89	Enzyme_90	Enzyme_91	Enzyme_92	Enzyme_93	Enzyme_94	Enzyme_95	Enzyme_96	Enzyme_97	Enzyme_98	Enzyme_99	Enzyme_100	Enzyme_101	Enzyme_102	Enzyme_103	Enzyme_104	Enzyme_105	Enzyme_106
Streptomyces nigrescens ATCC 23941 LAB	13	1	6	2	1	2	1	7	1	2	4	2	1	4	4	1	2	6	3	5	1	8	1	3	7	0	9	4	2	7	1	1	1	1	1	15	2	2	1	1	4	1	1	1	1	1	1	1	3	1	2	1	2	1	3	1	14	1	1	1	16	3	1	2	1	1	5	4	1	1	14	2	1	5	1	4	10	2	2	1	1	1	1	1	4	1	2	5	8	0	1	2	2	2	1	1	1	1	1	1	2	3	1	5	5	1
Streptomyces rochei CC36 LAB	16	1	5	1	3	4	1	6	2	2	2	2	1	4	3	2	3	5	3	5	1	6	1	3	4	2	8	5	2	6	1	2	1	1	1	13	1	2	1	1	5	2	1	1	2	1	1	1	6	2	2	2	1	1	2	2	12	1	2	2	14	1	1	2	1	1	5	8	1	1	15	1	1	5	1	5	9	1	4	3	1	4	1	3	3	2	1	7	9	1	2	1	1	2	1	1	2	1	1	1	2	3	1	8	3	1
Streptomyces rochei CC48 LAB	15	2	5	1	2	4	1	5	2	2	2	2	1	4	4	2	2	4	3	4	1	6	1	3	4	2	8	5	2	6	1	2	1	1	1	13	1	2	1	1	5	2	1	1	2	1	1	1	5	1	2	2	1	1	2	2	11	1	2	2	12	1	1	2	1	1	5	8	1	1	12	1	1	4	1	5	9	1	4	2	1	5	1	3	2	2	1	7	9	1	2	1	1	2	1	1	2	1	1	1	2	3	1	6	3	1
Streptomyces rochei CC71 LAB	15	2	4	1	3	4	1	6	2	2	2	2	1	4	4	2	2	5	3	5	1	6	1	3	4	2	8	5	2	6	1	2	1	1	1	12	1	2	1	1	5	2	1	1	2	1	1	1	6	2	2	2	1	1	2	2	12	1	2	2	14	1	1	2	1	1	4	8	1	1	14	1	1	5	1	5	9	1	4	2	1	3	1	3	2	2	1	6	9	1	2	1	1	2	1	1	2	1	1	1	2	3	1	7	3	1
Streptomyces fradieae CC53 LAB	11	1	3	2	1	2	1	4	1	2	2	2	1	4	2	1	2	3	2	3	1	2	1	3	4	1	7	4	2	5	1	1	1	1	1	14	1	2	1	1	3	2	1	1	1	1	1	1	3	1	2	1	1	1	2	1	8	1	1	2	9	1	2	2	1	1	3	4	1	1	10	1	1	2	0	2	7	1	2	1	2	2	1	1	5	1	1	5	4	0	1	1	1	2	1	1	1	1	1	1	2	3	1	7	2	1
Streptomyces phaeofaciens CC34 LAB	20	1	5	3	1	4	1	6	1	2	2	2	1	5	3	2	3	4	2	4	1	8	1	3	3	1	5	5	2	6	2	2	1	2	1	14	1	2	1	2	4	2	1	1	2	1	2	1	7	1	2	1	1	1	2	1	11	1	1	1	13	0	1	2	1	1	7	7	1	1	15	3	1	3	0	3	8	3	3	2	1	4	1	1	3	2	1	7	9	1	2	1	1	2	1	1	2	1	1	1	2	3	1	9	3	1
Streptomyces mauvecolor LAB	14	1	5	2	1	3	1	4	1	2	4	2	1	4	4	2	4	6	3	3	1	6	1	3	4	0	7	3	0	6	1	1	1	3	4	16	3	3	2	1	5	2	1	1	1	1	1	1	5	3	2	2	1	2	2	1	11	1	2	3	13	3	1	2	1	1	4	6	1	1	12	2	1	4	0	3	9	2	2	1	2	4	1	1	2	1	1	7	9	1	2	1	2	2	1	1	1	1	1	1	2	3	1	6	3	1
Streptomyces yokosukanensis LAB	21	2	5	2	1	3	1	7	1	2	5	2	1	4	4	2	4	5	3	4	1	8	1	3	3	1	13	4	1	5	1	2	1	2	2	13	2	2	2	1	5	4	3	3	3	1	2	1	3	1	2	1	1	2	2	3	9	1	1	1	13	2	1	2	1	1	8	7	1	1	12	2	1	6	0	3	7	3	3	2	2	8	1	2	4	1	1	10	12	1	2	1	1	2	1	2	3	1	1	1	2	3	1	6	5	1
Streptomyces roseus LAB	12	1	5	1	1	2	1	5	1	2	4	2	1	4	4	1	2	4	3	4	1	4	1	4	3	1	7	3	2	5	2	1	2	1	1	13	1	2	1	1	4	2	2	1	1	1	1	1	5	2	2	2	1	2	1	1	9	1	2	3	10	2	2	3	1	1	5	3	1	1	11	2	1	4	0	2	6	2	3	2	2	5	1	1	5	2	2	9	7	1	1	2	1	2	1	1	1	2	1	1	2	3	1	6	4	1
Streptomyces jumonjinensis MU LAB	13	1	4	2	1	4	1	4	1	2	4	2	1	5	5	1	2	4	3	3	1	5	1	3	3	0	6	2	0	4	1	1	1	1	1	15	2	2	1	1	4	1	1	1	1	1	1	1	4	2	2	2	2	1	4	3	11	1	2	2	14	4	1	2	1	1	5	4	1	1	14	2	1	6	1	3	6	2	2	1	1	3	1	1	3	1	1	9	5	1	2	1	1	2	1	1	1	1	1	1	2	3	1	5	4	1
Streptomyces katsurahamenas MU LAB	12	1	4	2	1	3	1	4	1	2	4	2	1	5	5	1	2	4	2	3	1	4	1	4	3	0	6	2	0	4	1	1	1	1	1	15	2	2	1	1	4	1	1	1	1	1	1	1	4	2	2	1	1	1	3	3	8	1	1	1	11	3	1	2	1	1	5	4	1	1	9	2	1	6	1	2	4	2	2	1	1	1	1	2	3	1	1	9	5	1	2	1	1	2	1	1	1	1	1	1	2	3	1	4	5	1
Streptomyces atratus JQJU01	21	1	4	2	2	1	1	6	1	2	4	2	1	4	3	2	3	4	2	4	1	9	1	3	3	0	4	3	2	4	1	1	1	1	1	18	1	2	1	1	3	2	1	1	1	1	1	1	4	1	2	1	1	1	2	1	11	1	1	1	13	1	2	2	1	1	4	5	1	1	11	3	1	1	0	3	8	1	2	1	2	2	1	2	2	1	1	4	7	1	1	1	2	2	1	1	1	1	1	1	2	3	1	7	3	1
Streptomyces avicenniae JOEK01	18	2	1	2	1	2	1	4	1	2	3	2	1	4	3	1	2	4	2	1	1	5	1	3	1	2	5	1	0	3	1	1	1	1	1	10	2	2	1	1	4	1	1	1	1	1	1	1	4	1	2	1	1	2	2	1	12	1	1	1	14	1	1	1	1	1	5	5	1	1	12	2	2	3	2	3	7	1	2	3	1	3	1	1	2	1	1	6	4	1	1	1	1	2	1	1	2	1	1	1	2	3	1	4	4	1
Streptomyces fradiae JNAD01	11	1	4	2	1	3	1	3	1	2	2	2	1	6	3	1	2	3	2	3	1	4	2	3	1	0	9	2	1	5	1	3	1	1	1	11	1	2	1	1	3	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	7	1	1	1	8	0	1	2	1	1	2	8	1	1	9	2	1	3	0	3	5	1	2	1	1	2	1	1	4	1	2	5	4	1	3	1	3	2	1	1	1	1	1	1	2	3	1	7	4	1
Streptomyces canus 299MFChir4.1 ARTQ01	23	2	6	2	1	3	1	7	1	2	4	4	1	4	3	2	4	5	3	6	1	11	1	4	5	0	6	4	1	6	1	1	1	1	1	15	1	2	1	1	6	1	1	2	2	1	2	1	3	1	2	1	1	1	4	2	13	2	1	2	15	2	1	2	1	1	7	7	1	1	15	2	1	5	0	3	9	2	5	2	2	5	1	2	3	2	2	9	10	1	3	2	3	4	2	2	2	1	1	1	2	3	1	9	5	2
Streptomyces ghanaensis ATCC 14672 ABYA01	15	2	4	2	1	3	1	6	1	2	3	3	1	5	4	2	3	4	3	3	1	6	1	3	3	2	7	4	2	6	1	1	1	1	1	12	1	2	1	1	3	2	1	1	2	1	1	1	4	1	2	1	1	2	2	2	10	1	1	1	13	4	1	2	1	1	5	4	1	1	13	2	1	3	1	5	11	2	2	3	2	4	1	2	4	1	1	6	8	1	2	1	2	3	1	1	1	1	1	1	2	3	1	8	3	1
Streptomyces anulatus JOEZ01	12	1	5	2	1	2	2	5	1	2	4	2	1	4	3	1	2	3	2	3	1	10	1	3	3	1	7	5	1	5	1	3	1	1	2	13	1	2	1	1	3	2	1	1	1	1	1	1	5	2	2	1	2	1	2	1	9	1	1	1	10	0	1	2	1	1	3	5	1	1	12	1	1	3	0	3	8	1	2	1	2	6	1	1	4	1	1	4	5	1	2	1	1	2	1	1	1	1	1	0	2	3	1	7	4	1
Streptomyces globisporus subsp. globisporus JNZK01	15	1	4	2	1	2	1	6	2	2	4	2	1	4	3	1	2	3	2	3	1	9	1	3	3	1	6	5	1	4	1	3	1	1	1	15	1	2	1	1	3	2	1	1	1	1	2	1	6	1	2	1	1	2	3	2	10	1	1	1	11	0	1	2	1	1	5	9	1	1	10	1	1	3	1	4	8	2	2	1	2	3	1	1	3	1	1	4	5	1	2	1	1	2	1	1	1	1	1	1	2	3	1	5	4	1
Streptomyces flavidovirens DSM 40150 AUBE01	14	1	5	2	1	2	1	6	1	2	2	2	1	4	3	1	2	4	3	4	1	7	1	3	3	0	6	5	0	4	1	2	1	2	2	11	2	2	2	1	5	2	2	2	2	2	3	2	6	2	2	2	2	2	2	2	11	1	2	2	12	1	1	2	1	1	5	5	1	1	9	4	1	3	0	2	7	2	3	1	2	2	1	1	5	1	1	7	6	1	2	2	1	2	1	1	1	1	1	1	2	3	1	7	4	1
Streptomyces bicolor JOFS01	19	2	6	2	1	3	1	6	1	2	2	2	1	4	3	2	3	5	3	5	1	8	1	3	4	0	10	5	1	7	1	2	1	1	1	18	1	2	1	1	4	1	1	1	2	1	2	1	3	1	2	1	1	1	2	3	12	1	1	1	17	2	1	2	2	1	6	8	1	1	14	3	1	6	0	2	7	2	3	2	2	5	1	2	3	2	1	6	8	1	3	1	1	2	1	1	2	1	1	1	2	3	1	6	3	1
Streptomyces auratus AGR0001 AJGV01	12	1	6	2	1	2	1	5	1	2	4	2	1	4	3	1	2	3	2	4	1	7	1	3	4	0	7	3	2	6	1	1	1	1	1	14	1	2	1	1	3	5	2	1	1	1	2	1	4	1	2	1	1	1	3	2	12	1	1	1	13	6	1	2	1	1	4	4	1	1	13	3	1	6	0	4	9	2	2	1	1	2	1	1	2	1	1	5	6	1	1	1	1	2	1	1	1	1	1	1	2	3	1	6	6	1
Streptomyces flaveolus JNWV01	23	2	5	1	1	3	1	8	1	2	4	3	1	5	5	2	4	6	3	5	1	7	1	4	3	1	9	4	1	6	1	1	1	1	1	14	1	3	1	1	5	2	1	1	2	1	1	1	6	2	2	1	1	1	2	1	10	2	1	1	16	3	1	2	1	1	6	8	1	1	16	3	1	3	0	3	8	2	4	3	2	6	1	3	5	2	1	9	11	3	2	1	2	3	1	2	1	1	1	1	2	3	1	8	3	2
Streptomyces floridae JOAC01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	7	5	1	4	1	1	2	1	1	13	1	3	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	13	1	1	1	16	2	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	4	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	4	1
Streptomyces alboviridis JNWU01	17	1	4	2	1	3	1	4	2	2	4	2	1	4	3	1	2	3	2	3	1	8	1	3	3	1	7	5	2	4	1	2	1	1	2	14	1	2	1	1	3	2	1	1	1	1	2	1	5	1	2	1	1	1	2	1	12	1	1	2	16	3	1	2	1	1	4	6	1	1	15	1	2	2	1	4	12	3	2	1	2	4	1	1	4	1	1	4	6	1	2	1	1	2	1	1	1	1	1	1	2	3	1	9	4	1
Streptomyces griseoaurantiacus M045 AEYX01	15	2	5	2	1	3	1	5	1	2	2	2	1	4	3	1	2	4	3	3	1	6	1	3	3	0	7	3	1	4	1	2	1	1	1	12	1	2	1	1	4	1	1	1	1	1	1	1	4	1	2	1	1	1	3	1	12	1	1	1	13	2	1	2	1	1	5	5	1	1	13	2	1	4	0	3	9	2	3	2	1	4	1	1	4	2	2	7	5	1	3	2	2	2	1	2	1	1	1	1	2	3	1	9	3	1
Streptomyces chartreusis NRRL 12338 AGDE01	20	0	6	2	1	3	1	6	1	2	4	2	1	5	4	2	3	5	3	4	1	8	1	3	5	0	7	3	1	6	1	1	1	1	1	14	1	2	2	1	5	3	2	1	2	1	1	1	5	1	2	2	1	1	3	1	13	1	2	2	16	4	1	2	1	1	5	10	1	1	18	3	1	4	0	3	11	2	4	2	2	3	1	2	2	2	2	5	9	2	3	1	2	2	1	2	1	1	1	1	2	3	1	8	3	1
Streptomyces griseolus JOFC01	16	1	5	3	2	2	1	5	3	2	5	2	1	4	3	1	2	3	2	4	1	5	1	4	4	1	4	3	1	4	1	3	1	1	1	12	1	2	1	1	3	3	1	1	1	1	2	1	8	1	2	1	1	2	2	1	9	1	1	1	10	2	1	2	1	1	3	8	1	1	12	2	1	3	1	3	8	3	2	1	2	5	1	2	3	1	1	5	8	1	2	2	2	2	1	1	1	2	1	0	2	3	1	7	3	1
Streptomyces cyaneofuscatus JOEM01	16	1	4	2	1	3	1	5	2	2	4	2	1	4	3	1	2	3	2	3	1	7	1	3	2	2	8	4	1	4	1	1	1	1	1	15	1	3	1	1	3	2	1	1	1	1	2	1	5	1	2	1	1	1	2	1	9	1	1	1	12	2	2	2	1	1	6	3	1	1	13	2	1	2	1	3	9	2	2	1	2	3	1	1	4	1	1	6	6	1	1	1	1	2	1	1	1	1	1	0	2	3	1	6	3	1
Streptomyces capuensis JNWP01	14	1	6	2	2	2	1	6	2	2	5	3	2	4	3	1	3	4	3	4	1	9	1	3	3	1	14	2	1	4	1	1	2	1	1	17	1	2	2	1	4	2	2	1	1	1	2	1	5	2	2	2	1	1	3	2	13	1	2	2	15	5	2	3	1	1	7	5	1	1	15	3	1	6	0	3	10	2	3	1	2	2	1	2	4	1	1	6	8	1	1	1	2	3	2	2	1	1	1	1	2	3	1	9	5	1
Streptomyces acidiscabies 84-104 AHBF01	16	1	5	2	1	3	2	6	2	2	4	3	1	5	5	1	2	5	3	4	1	11	1	4	4	0	8	5	1	9	1	1	1	2	3	16	1	2	1	1	6	3	2	1	3	2	2	2	5	1	2	1	1	2	2	1	13	1	1	1	16	5	1	2	2	1	7	7	1	1	17	4	1	3	0	2	9	3	5	2	2	7	1	2	5	2	2	6	6	3	3	1	2	3	2	2	2	1	1	1	2	3	1	11	5	1
Streptomyces californicus JOFG01	14	1	4	2	1	2	1	6	2	2	5	2	1	4	3	1	1	3	2	3	1	9	1	3	3	1	7	5	1	4	1	1	1	1	1	13	1	4	1	1	3	1	1	2	1	1	2	1	4	2	2	1	1	1	2	1	13	1	1	1	16	2	1	2	1	1	5	3	1	1	14	1	1	3	1	4	10	2	2	2	2	4	1	1	3	1	1	5	6	1	1	1	1	2	1	1	1	1	1	1	3	4	1	7	3	1
Streptomyces catenulae JODY01	10	1	5	2	2	2	1	6	1	2	3	2	1	4	3	1	2	2	1	4	1	5	1	4	2	0	7	2	1	4	1	1	1	2	2	17	2	3	1	1	4	2	2	1	1	1	1	1	4	2	2	2	1	1	2	1	10	1	2	2	10	1	2	1	1	1	4	6	1	1	10	1	2	6	1	5	11	3	2	1	2	4	1	2	2	1	1	5	8	1	1	1	1	2	1	1	1	1	1	1	2	3	1	7	4	1
Streptomyces achromogenes subsp. achromogenes JODT01	17	0	5	2	1	3	1	6	1	2	3	3	1	4	2	1	2	4	3	4	1	7	1	3	3	1	8	4	1	5	1	1	1	2	3	14	1	2	1	1	4	3	4	1	2	2	2	1	5	1	2	1	1	1	2	1	9	1	1	1	12	6	1	2	1	1	5	8	1	1	15	3	1	6	1	6	11	2	3	2	2	4	1	1	7	2	1	6	11	1	2	2	3	3	2	2	1	1	1	1	2	3	1	7	3	1
Streptomyces baarnensis JNZV01	14	1	4	2	1	2	1	6	2	2	4	2	1	4	3	1	2	3	2	4	1	10	1	3	3	1	6	5	1	4	1	2	1	1	1	13	1	2	1	1	4	2	1	1	1	1	2	1	6	2	2	2	2	2	2	1	9	1	2	2	13	1	2	2	1	1	4	7	1	1	11	1	1	2	1	3	8	2	3	1	2	3	1	1	3	1	1	5	6	1	2	1	1	2	1	1	1	1	1	1	2	3	1	7	3	1
Streptomyces albulus CCRC 11814 AROY02	11	1	5	2	2	2	1	6	2	2	3	3	1	4	3	1	3	4	3	5	1	7	1	3	2	1	12	2	3	5	1	1	1	1	1	19	2	2	2	1	4	1	0	0	0	0	2	0	2	1	2	1	2	2	3	2	10	1	1	1	12	5	1	2	1	1	6	5	1	1	12	2	1	6	0	2	7	1	2	1	2	5	1	2	2	1	1	7	12	1	2	2	2	3	2	3	1	1	1	1	2	3	1	6	4	1
Streptomyces griseofuscus JOFU01	15	0	5	2	1	3	1	7	1	2	7	2	1	4	3	1	2	4	3	5	1	11	2	3	3	0	9	5	1	5	1	1	1	1	1	18	1	3	1	1	5	1	2	1	1	1	1	1	4	1	2	1	2	2	2	1	11	1	1	1	13	6	1	2	1	1	5	5	1	1	15	2	2	6	1	6	12	2	4	3	1	5	1	1	5	2	1	8	8	1	1	2	1	2	1	3	2	1	1	1	2	5	1	6	3	1
