Familia	BBH	NPs	Expansion mas NPs	AntiSMASH	SMASH_BBH	Seeds
X2_dehydro_3_deoxyphosphoheptonate_aldolase	1130	107	1624	50	100	3
X3_dehydroquinate_dehydratase	1160	18	1250	50	100	3
X3_dehydroquinate_synthase	1237	54	1522	50	100	3
X3_phosphoshikimate_1carboxyvinyltransferase	1216	7	1791	50	100	3
X3isopropylmalate_dehydrogenase	1229	5	1467	50	100	3
X6_phosphogluconolactonase	1164	4	1120	50	100	2
Acetolactate_synthase_large_subunit	1234	35	6033	50	100	3
Aconitate_hydratase	1188	7	1754	50	100	3
Alanine_dehydrogenase	1114	1	1496	50	100	2
alphaketoglutarate_decarboxylase	1110	1	1115	50	100	1
Anthranilate_phosphoribosyltransferase	1112	5	1193	50	100	3
Anthranilate_synthase_component_1	1230	277	3502	50	100	3
argininosuccinate_lyase	1212	508	1829	50	100	3
Asparagine_synthase	1126	67	1816	50	100	3
Aspartate_amino_transferase	1121	474	4624	50	100	1
Aspartate_kinase	1231	11	1266	50	100	2
Aspartate_semialdehyde_dehydrogenase	1617	1	1553	50	100	4
Aspartate_transaminase	476	474	4687	50	100	2
ATP_phosphoribosyltransferase	1180		1153	50	100	3
bifunctional_indole3glycerol_phosphate_synthase_phosphoribosylanthranilate_isomerase	80	36	1273	50	100	1
Branchedchain_amino_acid_transaminase	1240	12	1318	50	100	3
Chorismate_mutase	1346	8	1092	50	100	3
Chorismate_synthase	1231	41	1271	50	100	3
Citrate_synthase	1193	2	2671	50	100	3
cystathione_beta_lyase	1682	34	4785	50	100	2
cystathione_gamma_synthetase	1665	16	3843	50	100	5
Cysteine_synthase	1621	23	3573	50	100	3
diaminopimelate_decarboxylase	1222	16	2113	50	100	3
diaminopimelate_epimerase	1150	2	1142	50	100	3
dihydrolipoamide_acetyltransferase	1176	19	3036	50	100	4
dihydropicolinate_reductase	1204		1177	50	100	3
dihydropicolinate_synthase	1992	5	2622	50	100	5
Dihydroxiacid_dehydratase	1451	10	2107	50	100	3
enolase	1401	1	1499	50	100	4
Fructose_biphosphate_aldolase	1199		1176	50	100	3
fumarate_hydratase	1897		2408	50	100	4
fumarate_reductase_ironsulfur_subunit	2233		2263	50	100	6
Glucose_6_phosphate_dehydrogenase	1423	5	1822	50	100	5
Glucose_6_phosphate_isomerase	1066	6	1019	50	100	4
Glucose_kinase	3235	15	6338	50	100	7
glyceraldehyde3phosphate_dehydrogenase	1255	3	2238	50	100	2
glycine_hydroxymethyltransferase	1787	11	2207	50	100	6
histidinol_dehydrogenase	1175		1289	50	100	2
histidinol_phosphatase	1193	11	1189	50	100	1
histidinolphosphate_aminotransferase	1224	17	2634	50	100	3
Homoserine_dehydrogenase	1236	1	1209	50	100	3
Homoserine_kinase	1218	1	1209	50	100	3
Homoserine_O_succinyltransferase	806	12	835	50	100	2
imidazole_glycerol_phosphate_synthase_H	1177		1175	50	100	3
imidazoleglycerol_phosphate_dehydratase	2364	4	2379	50	100	2
Indole3glycerol_phosphate_synthase	1139	37	1412	50	100	2
Isocitrate_dehydrogenase	1247	1	1242	50	100	4
Isopropyl_malate_synthase	1204	1	1242	50	100	2
isopropylmalate_isomerase_large_subunit	1205	8	1409	50	100	3
isopropylmalate_isomerase_small_subunit	1215	7	1526	50	100	3
Ketoacid_reductoisomerase	1227	1	1252	50	100	3
malate_dehydrogenase	2269		945	50	100	3
Methionine_synthase	1803	19	1750	50	100	4
Phosphofructokinase	2827	1	3038	50	100	7
phosphogluconate_dehydrogenase	1982	20	2069	50	100	6
Phosphoglycerate_dehydrogenase	1367	626	5350	50	100	4
phosphoglycerate_kinase	1244	3	1251	50	100	3
phosphoglycerate_mutase	2421	19	2113	50	100	4
phosphoribosyl_AMP_cyclohydrolase	1122	1	1121	50	100	3
phosphoribosyl_ATP_diphosphatase	36	3	1199	50	100	3
Phosphoribosyl_isomerase	198	1	30	50	100	2
phosphoribosyl_isomerase_A	1135	6	167	50	100	1
Phosphoribosylanthranilate_isomerase_TrpF2	1105		1115	50	100	3
Phosphoribosylanthranilate_isomerase_TrpF3	102	2	1197	50	100	2
Phosphoserine_aminotransferase	1182	1	1127	50	100	3
Phosphoserine_Phosphatase	2129	3	2889	50	100	4
Prephenate_dehydratase	1210	1	1190	50	100	3
Prephenate_dehydrogenase	1226	18	1296	50	100	3
Pyruvate_kinase	1603	1	1682	50	100	4
Ribose_5_phosphate_isomerase	1474		1476	50	100	4
ribosephosphate_pyrophosphokinase	1450	1	1544	50	100	4
Ribulose_phosphate_3_epimerase	1241	3	1287	50	100	3
serine_O_acetyltransferase	853	13	575	50	100	2
Shikimate_dehydrogenase	1561	7	1444	50	100	3
Shikimate_kinase	1027	38	1177	50	100	3
Succinate_dehydrogenase_flavoprotein	2448	7	3501	50	100	7
succinyl_diaminopimelate_desuccinylase	1225	1	1270	50	100	3
succinylCoA_synthetase_subunit_alpha	1234	2	1157	50	100	3
succinylCoA_synthetase_subunit_beta	1166	2	1267	50	100	4
succinyldiaminopimelate_transaminase	1003	484	4411	50	100	2
Tetrahydrodipicolinate_N_succinyl_transferase	1121		1159	50	100	2
Threonine_ammonialiase	1377	98	2447	50	100	3
Threonine_synthase	1828	5	2095	50	100	4
transaldolase	1071	10	1389	50	100	3
transketolaseA	1288	20	1739	50	100	3
Triosephosphate_isomerase	1355	1	1408	50	100	4
Tryptophan_synthase_alpha	1196	17	1276	50	100	3
Tryptophan_synthase_beta	1222	10	1535	50	100	2
