Central	kingdom	taxa	np
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	Polyketideambruticin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelasalocid
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelasalocid
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidemonensin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidenanchangmycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidenaphthomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideneocarzinostatin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidenigericin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidepladienolide
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketiderubradirin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidesalinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideansamitocin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRP / Polyketidesporolide
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidetetronasin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidetetronomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidetiacumicin B
1_FIG01129357: hypothetical protein	Bacteria	Unknown	Polyketide / saccharidearixanthomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideazicemicin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideazicemicin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketide / Saccharidelomaiviticin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelysolipin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideoxytetracycline
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidecalicheamicin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideresistomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidexantholipin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideviguiepinol
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRP / SaccharideA40926
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPA47934
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPA47934
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPactinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPanthramycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPbalhimycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPchloroeremomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidecoelimycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPcomplestatin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPdaptomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPechinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPechinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPenduracidin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPquinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPsibiromycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPSW-163
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPtaromycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPteicoplanin
