Cycle 	Time	Temp	Pro0	Pro25	Pro50	Pro75	Pro100	Pro0_NoHIsF	Pro50_NoHisF	Pro100_NoHisF
1	0	28	0.4587000012	0.6090000272	0.5590000153	0.8392999768	0.9548000097	0.4663999975	0.5443000197	1.0582000017
2	38.3	28	0.4568000138	0.6065000296	0.5738999844	0.8386999965	0.9559000134	0.4665000141	0.5346999764	1.0319999456
3	76.6	28	0.4573999941	0.6047999859	0.5690000057	0.8374999762	0.9492999911	0.4670000076	0.5866000056	0.9679999948
4	114.8	28.2	0.4580999911	0.6021999717	0.5989999771	0.8342000246	0.9466000199	0.4686000049	0.551699996	0.9740999937
5	312.9	28	0.475300014	0.6183000207	0.584100008	0.8704000115	0.9438999891	0.4903999865	0.5827000141	0.997699976
6	351.1	28	0.4767000079	0.617200017	0.5562999845	0.867299974	0.9445000291	0.4889999926	0.5598999858	0.9950000048
7	389.4	27.9	0.4797999859	0.6230000257	0.6485999823	0.8762999773	0.9516000152	0.494599998	0.6093999743	1.0040999651
8	427.7	28	0.4765999913	0.6169999838	0.5770000219	0.8675000072	0.9477000237	0.4871000051	0.6014999747	1.0101000071
9	465.9	28	0.4763000011	0.6182000041	0.6074000001	0.8658000231	0.9467999935	0.4894999862	0.5684999824	0.997600019
10	504.2	28	0.4742999971	0.6184999943	0.6044999957	0.8697000146	0.9451000094	0.4907999933	0.5730000138	0.997699976
11	542.5	28	0.4751000106	0.6168000102	0.5832999945	0.8677999973	0.9460999966	0.4900999963	0.6075999737	0.997600019
12	580.8	27.9	0.4769999981	0.616599977	0.603399992	0.8648999929	0.9465000033	0.4902000129	0.5626000166	0.9955999851
13	619	28	0.4778000116	0.6168000102	0.5813000202	0.8615000248	0.9492999911	0.4894999862	0.597299993	0.9897999763
14	657.3	28	0.4765999913	0.6187999845	0.6040999889	0.8651000261	0.9480999708	0.4912	0.5720999837	0.9933000207
15	695.6	28	0.4763999879	0.6194999814	0.6093000174	0.8683999777	0.9502000213	0.4911000133	0.5849999785	0.9986000061
16	733.8	28	0.4781999886	0.6176000237	0.6039000154	0.861899972	0.949000001	0.4909000099	0.5820000172	0.9932000041
17	772.1	27.9	0.4772000015	0.6169999838	0.6115999818	0.8622999787	0.9477000237	0.4898000062	0.5666999817	0.994599998
18	810.4	27.9	0.4776000082	0.6173999906	0.5684000254	0.8626000285	0.9509999752	0.4898000062	0.5799000263	0.9914000034
19	848.7	28	0.4787999988	0.6182000041	0.5820999742	0.8630999923	0.9481999874	0.4898000062	0.5935999751	0.9948999882
20	967.5	27.8	0.4801000059	0.6254000068	0.6074000001	0.8655999899	0.9502999783	0.4880000055	0.5806000233	1.007799983
21	1005.8	28	0.4826000035	0.6261000037	0.613499999	0.8632000089	0.9492999911	0.4911000133	0.6107000113	0.992200017
22	1044	27.8	0.4819999933	0.6238999963	0.6223999858	0.8612999916	0.9498999715	0.4884000123	0.5964000225	0.9872999787
23	1082.3	27.8	0.4815999866	0.6279000044	0.5898000002	0.8690999746	0.9467999935	0.4930999875	0.5777999759	0.9972000122
24	1120.6	28	0.4835999906	0.6263999939	0.5649999976	0.8675000072	0.9498000145	0.4880000055	0.5681999922	1.0036000013
25	1158.9	28	0.4839999974	0.6243000031	0.5877000093	0.861899972	0.9498999715	0.4882999957	0.5727000237	0.9879999757
26	1197.2	27.9	0.4839999974	0.6261000037	0.6123999953	0.8687000275	0.948300004	0.4909999967	0.5899999738	0.9921000004
27	1235.4	28	0.4832000136	0.6251999736	0.5694000125	0.8661000133	0.9491999745	0.4921000004	0.5745000243	0.9961000085
28	1405.1	28	0.4796000123	0.5781999826	0.5422999859	0.8090000153	0.9090999961	0.4938000143	0.5662999749	0.9761000276
29	1443.3	28	0.4785999954	0.5717999935	0.5353999734	0.7904999852	0.8884000182	0.4941999912	0.6015999913	0.9678999782
30	1481.6	28	0.4769000113	0.5658000112	0.5381000042	0.7738000154	0.8708999753	0.4925999939	0.5637000203	0.9539999962
31	1519.8	28.2	0.4749000072	0.5630000234	0.5145000219	0.7651000023	0.8522999883	0.4952999949	0.5970000029	0.949000001
32	1558.1	28.2	0.474999994	0.5600000024	0.5454000235	0.7540000081	0.8393999934	0.4909999967	0.5866000056	0.9541000128
33	1596.4	28	0.4747999907	0.5569000244	0.5325999856	0.7430999875	0.8245000243	0.4930999875	0.5451999903	0.9207000136
34	1634.7	28	0.4742999971	0.5514000058	0.502300024	0.7344999909	0.8136000037	0.4903999865	0.6018000245	0.9085000157
35	1672.9	28.2	0.4747999907	0.5515000224	0.5167999864	0.7333999872	0.8026000261	0.4934999943	0.5687999725	0.9032999873
