	Senterica_5AHE	Coli_K12	Acidimicrobium	JOAQ01	Scoe_2VEP	Scoe_2X30	Scoe_1VZW	JOFS01	BAVY01	JOCU01	ABYA01	JNXI01	ABYC01	JOFG01	JNZV01	AJUO01	JNXH01	JOFC01	JNWL01	AJSZ01	Sven_10712	JSFP01	JJNO01	JQJU01	JOHB01	JOBF01	JNAD01	ARLC01	JODL01	ADGD01	ARTP01	AEJC01	ABJJ02	Svice_4U28	Svice_4TX9	JOBU01	JNZG01	JNZY01	JNZH01	ACEW01	ATCJ01	Mg1_4X9S	Mg1_4W9T	AWQW01	JOFK01	JODS01	TC1	TC1_4WD0	Auro_4X2R	Acardi_b2	JNZF01	Mtub_2Y88	Mtub_2Y89	Mtub_2Y85	Mtub_3ZS4	diphtheriae	jeikeium	JSFP01_2	TrpF_Jonesia_4WUI	trachomatis	mg1	Aodo_b12
S13	-9.1	-9.7	-5.7	-7.4	-7.5	-8.1	-12	-7.2	-7.4	-7.1	-9.2	-6.6	-6.3	-7.3	-8.9	-6.1	-9	-6.6	-7.4	-6.9	-8.3	-7.8	-7.4	-7.6	-7.5	-6.3	-7.3	-7.5	-8	-6.4	-9.6	-6.6	-5.9	-12	-12	-8	-7.8	-6.4	-7.5	-7.4	-6.5	-12	-12	-6.2	-7.6	-6.8	-8.2	-12	-9.9	-10.6	-6.9	-10	-8.7	-8.2	-10	-9.2	-7.5	-7.4	-8.3	-8.2	-7.2	-8.5
S15	-5.4	-9.7	-5.8	-7.3	-7.5	-7.4	-12	-6.7	-7.2	-7.6	-8.7	-7.3	-7.1	-8.8	-6.6	-6.8	-6.9	-8.2	-6.7	-7.5	-7.6	-7.2	-6.8	-7.1	-6.7	-6.8	-7	-7	-7.3	-7.7	-10.9	-6.6	-8.2	-12	-12	-7.1	-7.2	-7	-6.9	-6.9	-6.9	-12	-12	-6.8	-6.7	-7.3	-8.5	-12	-9.1	-9.3	-6.8	-7.8	-8.6	-7.9	-10.5	-7.8	-6.9	-8	-8.8	-8	-8.8	-8.6
S14	-6.4	-9.2	-6	-7.5	-7.9	-7.6	-12	-6.8	-7	-7.2	-6.7	-7	-7.4	-7.5	-6.7	-6.9	-7.1	-7.1	-7.4	-7.9	-7.5	-7.6	-7.1	-7.5	-6.8	-7	-6.8	-6.9	-6.9	-7.4	-8.9	-7.3	-7.1	-12	-12	-6.7	-7.6	-7.1	-6.8	-7.3	-7.2	-12	-12	-7.4	-7.1	-6.9	-8.1	-12	-9.8	-9.3	-7.5	-8.9	-9.6	-9.2	-11.4	-10.9	-7.2	-7.6	-8.2	-7.4	-8.2	-8.8
S16	-5.2	-6.1	-5.7	-7.1	-7	-6.9	-12	-6.5	-6.5	-7.3	-6.7	-7.1	-6.8	-6.7	-6.8	-6.5	-6.8	-6.4	-7.3	-7.8	-6.8	-7.3	-7.2	-7.4	-6.6	-6.3	-6.6	-6.6	-6.6	-7.2	-7.1	-6.9	-6.6	-12	-12	-6.9	-7.2	-6.7	-6.8	-6.8	-7.1	-12	-12	-6.5	-7.2	-6.7	-7.9	-12	-8.1	-7.2	-7.1	-5.4	-9.4	-7.4	-6.4	-7.2	-6.5	-6.4	-6.8	-7.2	-7.3	-7.3
S10	-8	-7.2	-6.7	-6.5	-7	-6.7	-12	-6.2	-7.3	-7.2	-7.4	-7.1	-7.7	-7	-7.2	-6.7	-6.3	-7.1	-7.7	-7.5	-6.4	-6.2	-7.2	-6.2	-6.8	-6.9	-6.5	-6.6	-7.2	-7.6	-6	-6.5	-6.8	-12	-12	-6.6	-7.4	-7.7	-6.5	-7.3	-6.5	-12	-12	-7.8	-7.1	-8	-5.7	-12	-7.4	-7.2	-7.8	-8.6	-6.4	-7.6	-8.2	-7.5	-8.4	-5.2	-6.2	-6.1	-6.2	-7.1
S12	-7.3	-6.6	-6.2	-6.2	-6.2	-6.8	-12	-6.6	-6.4	-6.8	-7.7	-7.1	-6.9	-6.5	-7.2	-6.3	-7.2	-7.4	-6.5	-7.3	-7	-6.5	-7.4	-6.5	-7	-6.9	-7.3	-6.7	-6.7	-7.5	-6.2	-6.3	-7	-12	-12	-6.8	-6.9	-6.3	-6.6	-6.6	-6.9	-12	-12	-6.8	-6.5	-7.9	-5.5	-12	-7.1	-6.8	-7.3	-7.3	-5.9	-7.5	-7.2	-7.6	-8	-5.4	-6.1	-5.5	-5.7	-7.1
S9	-7.4	-6.8	-5.8	-6.5	-6.5	-7.1	-12	-5.9	-7	-6.9	-7.2	-6.8	-6.6	-6.5	-6.2	-6.7	-6.6	-7.1	-6.8	-7.7	-6.2	-6.9	-7.8	-6.9	-6.7	-6.6	-6.6	-6.9	-6.1	-7.2	-6.7	-6.5	-7.6	-12	-12	-6.7	-7.4	-6.2	-6.5	-7.5	-6.4	-12	-12	-6.7	-6.6	-7.7	-5.9	-12	-7.4	-7.3	-7.2	-7.8	-5.6	-7.6	-7	-7.7	-8.5	-5.2	-6	-5.4	-5.7	-7.1
S18	-8.8	-8.6	-7.6	-7.7	-7.8	-7.9	-12	-7.8	-7.5	-8.1	-7.5	-8	-8	-8.7	-7.7	-7.5	-8.1	-7.4	-8.5	-8.1	-8.2	-8	-8.6	-8	-7.9	-7.8	-8.6	-7.7	-7.6	-8.5	-8.1	-8.1	-7.9	-12	-12	-8.2	-8.5	-8.1	-8.3	-8	-7.3	-12	-12	-9.5	-7.8	-8.5	-7	-12	-7.8	-7.5	-8.3	-9.5	-7.1	-8.4	-9.6	-8.9	-8.7	-6.1	-6.8	-6.5	-6.9	-7.5
S5	-10.7	-9.5	-9.2	-9.4	-8.8	-9.1	-12	-8.5	-9.6	-8.2	-9.8	-9.2	-9.6	-10	-9.6	-9.6	-9.8	-9.4	-9.9	-10	-9.6	-8.8	-9.7	-8.9	-9.9	-9.3	-9.1	-8.4	-9.2	-10.1	-9.1	-8.6	-8.4	-12	-12	-9.5	-9.4	-8.5	-8	-9.8	-7.8	-12	-12	-9.6	-8.6	-9.5	-7.5	-12	-9.2	-9.5	-9.2	-10.9	-7	-9.7	-10.2	-9	-9.5	-6.8	-7.4	-7.1	-6.6	-9.7
S4	-10.2	-9.1	-8.8	-9.3	-9.2	-9	-12	-7.8	-8.5	-7.2	-8.9	-8.7	-8.9	-9.7	-9.5	-9.6	-9.3	-8.5	-9.8	-9.7	-9	-8.6	-9.3	-8.7	-9.7	-7.4	-8.7	-8.2	-9.1	-10	-8.8	-9.1	-8.3	-12	-12	-9.1	-9.4	-9.2	-8.1	-9.3	-7.7	-12	-12	-9.4	-10	-9.8	-7.2	-12	-9.8	-9.8	-8.3	-10.3	-7.5	-9.5	-10.2	-9.8	-9.6	-6.4	-7.6	-7.1	-6.7	-9.4
