Time	62uM	37uM	20uM	10uM	6.25uM	3.75uM	2.5uM	1.25uM
0	44180	26797	14177	8954	4988	3316	1981	1180
133.6	32453	6218	3306	2069	1527	1118	706	447
155.2	26168	6085	2978	1729	1108	736	596	408
176.8	22264	5135	2981	1666	1128	730	601	367
198.5	19428	4999	2809	1709	1132	753	534	402
220.1	16719	4856	3036	1703	1204	738	567	429
241.7	15551	5064	2864	1750	1177	747	610	413
263.3	14862	5100	2963	1736	1155	783	578	429
285	14301	5193	2979	1759	1149	767	590	427
306.6	14795	5155	2936	1748	1204	767	595	470
328.2	15024	4865	2901	1677	1153	718	585	417
349.8	15062	5047	2839	1723	1115	766	579	401
514.2	15958	688	604	511	546	451	442	376
535.8	16280	711	533	423	438	412	436	352
557.4	15694	556	474	414	416	396	432	336
579	15880	511	503	413	368	412	397	374
600.7	15763	486	424	394	388	376	410	346
622.3	15772	501	471	429	399	382	428	361
643.9	15772	518	467	418	441	432	380	361
665.5	16108	510	401	380	408	403	418	345
687.2	16512	506	445	424	387	375	410	373
708.8	16395	474	420	430	402	369	389	342
730.4	16392	497	412	387	429	392	390	371
752	16142	497	404	363	343	398	370	344
773.7	16095	460	396	370	407	372	397	342
795.3	16273	423	397	398	347	404	351	355
816.9	15967	496	405	392	410	390	377	351
838.6	16321	462	425	403	405	376	410	355
860.2	16096	457	440	365	349	399	390	351
881.8	16346	463	413	391	423	402	402	341
903.5	16235	433	434	401	417	355	372	378
925.1	16497	439	432	382	391	385	392	337
946.8	16143	493	429	400	388	396	407	365
968.4	16070	455	412	412	398	373	364	347
990	16343	430	400	378	390	340	371	327
1011.7	16280	418	402	395	363	396	377	346
1033.3	16277	432	438	390	385	366	351	377
1055	16474	426	383	401	383	361	378	355
1076.6	16214	402	427	384	364	356	368	365
1098.2	16330	424	392	358	397	379	379	332
1119.9	16238	404	387	388	390	363	419	363
1141.5	16178	453	428	373	390	384	375	334
1163.1	16263	424	396	388	392	374	373	303
1184.8	16308	401	445	386	354	382	371	304
1206.4	16010	437	434	364	412	351	377	348
1228	16210	416	388	366	383	361	383	349
1249.7	15984	391	425	384	373	361	390	326
1271.3	15834	471	413	368	409	359	365	307
1292.9	16348	407	444	407	375	355	353	369
1314.6	15974	411	428	398	385	376	381	332
1336.2	16457	400	441	344	348	361	350	334
1357.8	16528	415	385	359	405	359	366	327
1379.5	16455	388	399	377	343	373	373	275
1401.1	16371	415	383	377	356	352	347	309
1422.7	16202	417	413	388	373	375	360	303
1444.4	15729	423	399	374	381	373	352	343
1466	15947	417	360	398	400	370	361	307
1487.7	15772	411	387	352	377	380	352	312
1509.3	16009	438	385	389	366	379	364	357
1530.9	15777	450	373	386	364	372	359	320
1552.5	16144	413	416	368	363	387	377	316
1574.2	15766	444	376	386	346	370	386	327
1595.8	15649	450	384	368	372	387	367	338
1617.4	15772	410	397	346	400	369	374	295
1639.1	15828	420	394	389	322	331	385	298
1660.7	15834	453	394	358	355	375	371	317
1682.3	15662	395	386	372	382	360	351	331
1704	16105	415	374	355	359	355	345	332
1725.6	15991	400	378	365	405	375	357	341
1747.2	15967	396	378	376	348	388	375	337
1768.9	15979	439	396	380	356	370	376	329
1790.5	15584	401	383	370	367	374	356	329
1812.1	15484	413	390	367	401	350	349	326
1833.8	15859	397	400	347	336	342	350	347
1855.4	15672	425	355	360	342	349	327	307
1877	15555	406	385	368	354	357	336	322
1898.7	15720	414	364	344	349	355	367	349
1920.4	15742	405	378	365	357	342	351	315
1942	15742	406	391	350	345	336	393	329
1963.6	16004	408	380	354	349	373	372	299
1985.3	15865	422	392	386	367	342	346	301
2006.9	15845	402	401	342	340	339	382	320
2028.6	16001	383	381	353	328	325	328	317
2050.2	16008	379	355	338	336	359	328	280
2071.8	16061	387	341	329	364	346	331	307
2093.5	15549	423	380	331	364	343	374	309
2115.1	15262	390	395	354	358	359	366	310
2136.7	15934	389	352	382	375	353	360	308
2158.3	15684	402	361	371	322	363	372	297
2180	15689	384	383	324	349	356	346	323
2201.6	15581	423	340	348	337	359	347	338
2223.2	15448	392	411	339	358	337	349	343
2244.9	15544	394	402	347	366	332	360	321
2266.5	15555	409	383	328	341	322	318	316
2288.1	15623	403	363	328	349	323	349	356
2309.8	15538	373	358	342	315	330	387	311
2331.4	15404	434	386	355	347	339	354	336
2353	15592	402	387	359	355	343	345	322
2374.7	15593	424	379	353	337	345	340	328
2396.3	15706	410	367	351	346	351	363	329
2418	16093	369	348	327	316	346	350	313
2439.6	15799	391	379	347	336	363	344	305
2461.2	15853	358	343	329	330	352	362	321
2482.8	16055	388	388	341	348	353	353	291
2504.5	15963	375	361	388	338	340	350	320
2526.1	15801	394	361	336	370	311	359	313
2547.7	15963	383	330	350	326	343	327	311
2569.4	15687	375	356	307	336	330	378	338
2591	15536	361	377	348	324	317	326	310
2612.6	15504	371	351	394	359	308	426	318
2634.3	15421	387	359	353	313	317	375	305
2655.9	14946	441	340	340	350	401	384	311

