Time	UM_100	UM_75	UM_60	UM_50	UM_40	UM_20	UM_10	uM_0
0	0.3862999976	0.3887999952	0.3510999978	0.3874999881	0.3855000138	0.4007000029	0.3542999923	0.4101999998
7.4	0.3874000013	0.3910999894	0.3528000116	0.385800004	0.3853999972	0.3989000022	0.3515999913	0.4054999948
102.5	0.3889999986	0.3962000012	0.3564999998	0.3903999925	0.3824000061	0.4018999934	0.3407999873	0.4079000056
109.9	0.3901000023	0.3989000022	0.3646999896	0.3912999928	0.3777999878	0.3991000056	0.3592999876	0.4070000052
117.3	0.3894999921	0.3989000022	0.3555000126	0.3905999959	0.3759999871	0.4090999961	0.3682000041	0.4054999948
124.8	0.3898000121	0.4018000066	0.3648000062	0.393599987	0.3779999912	0.4176999927	0.366899997	0.4088999927
132.2	0.390899986	0.4013000131	0.3594000041	0.3928000033	0.3855000138	0.40200001	0.3513000011	0.4099000096
139.6	0.3939999938	0.4036999941	0.3531999886	0.3946999907	0.3765999973	0.4117999971	0.3738000095	0.405400008
147.1	0.386500001	0.4061999917	0.3567999899	0.3980000019	0.3813000023	0.4025000036	0.356099993	0.4090999961
154.5	0.391200006	0.4007999897	0.3558000028	0.3932000101	0.3817000091	0.400000006	0.3477999866	0.4058000147
162	0.390899986	0.40200001	0.3542000055	0.3921999931	0.3785000145	0.398999989	0.3501000106	0.4077000022
169.4	0.3896000087	0.4032999873	0.3567999899	0.3925999999	0.3781999946	0.416200012	0.3842999935	0.4049000144
176.9	0.389200002	0.4014999866	0.359100014	0.393900007	0.3840000033	0.4013000131	0.3598999977	0.4075999856
184.3	0.391900003	0.4032000005	0.3668000102	0.3948999941	0.3801000118	0.3986000121	0.3546000123	0.408100009
191.8	0.3916000128	0.402399987	0.3677999973	0.3914000094	0.3768000007	0.407799989	0.3851000071	0.407099992
199.2	0.3930000067	0.4027999938	0.3682999909	0.3916999996	0.3779000044	0.4011999965	0.3720999956	0.4058000147
206.6	0.3916000128	0.402700007	0.3555999994	0.3955999911	0.3774999976	0.3998000026	0.3704000115	0.4070000052
214.1	0.3916000128	0.4034000039	0.34830001	0.3916000128	0.3794000149	0.3982999921	0.3465999961	0.4065000117
221.5	0.3905999959	0.4023000002	0.3626999855	0.3916000128	0.3788000047	0.4029999971	0.3657999933	0.4041000009
229	0.3919999897	0.4013999999	0.3677000105	0.3910999894	0.3783000112	0.4126999974	0.3623000085	0.4059000015
236.4	0.388500005	0.4045000076	0.3628999889	0.3966999948	0.3804999888	0.4156999886	0.3842999935	0.404700011
243.8	0.389200002	0.402700007	0.3560000062	0.3966999948	0.3797000051	0.400000006	0.3463000059	0.4079999924
251.3	0.3910000026	0.4032000005	0.3603999913	0.393900007	0.3788000047	0.4167999923	0.3935000002	0.4061000049
258.7	0.3887000084	0.402700007	0.3684999943	0.3925999999	0.3770999908	0.4025000036	0.3594000041	0.407099992
266.2	0.3910000026	0.4043000042	0.3779000044	0.3919999897	0.3799000084	0.4138000011	0.3786000013	0.4041000009
273.6	0.3887000084	0.4045000076	0.3641000092	0.3941000104	0.3783000112	0.4156999886	0.3878999949	0.4056000113
281	0.3910000026	0.4070000052	0.3348999918	0.3966999948	0.3813000023	0.3980999887	0.3389999866	0.4061999917
288.5	0.3944000006	0.4063000083	0.3571999967	0.3912999928	0.3779000044	0.4025999904	0.3688000143	0.4041000009
295.9	0.3935000002	0.4052999914	0.3644999862	0.3928999901	0.3772999942	0.3973999918	0.3603999913	0.4040000141
303.4	0.3937999904	0.407099992	0.3632000089	0.3970000148	0.3865999877	0.4032999873	0.3443999887	0.4095999897
310.8	0.3898999989	0.4086000025	0.3578999937	0.3984999955	0.3770000041	0.4113999903	0.3799000084	0.407799989
318.3	0.3899999857	0.4054999948	0.3540000021	0.3944000006	0.3828999996	0.4004000127	0.3431999981	0.410100013
325.7	0.3932999969	0.407099992	0.3555999994	0.3966999948	0.377700001	0.4068000019	0.3725000024	0.408100009
333.1	0.3905999959	0.4083999991	0.3585000038	0.3937000036	0.383100003	0.400000006	0.3447000086	0.4077000022
340.6	0.3916999996	0.4083000124	0.3456999958	0.3970000148	0.3828000128	0.3991999924	0.3524999917	0.4070000052
348	0.3892999887	0.4079000056	0.3562000096	0.397300005	0.3768999875	0.4129000008	0.3819999993	0.4086000025
