Cycle	Time	Temp	A5	A6	B5	B6	C5	C6	D5	D6	E5	E6	F5	F6	G5	G6	H5	H6
1	0	26.4	1.010800004	1.0173000097	0.8508999944	0.8105999827	0.5468000174	0.5389000177	0.6457999945	0.6617000103	0.6348000169	0.632700026	0.6445000172	0.6439999938	0.4830000103	0.4898000062	0.5853000283	0.581799984
2	7.7	26.5	1.0105999708	1.0151000023	0.8543999791	0.8102999926	0.5480999947	0.5536000133	0.6524000168	0.6668999791	0.6352000237	0.633400023	0.6477000117	0.6459000111	0.5167000294	0.5241000056	0.58950001	0.5816000104
3	15.4	26.5	1.0090999603	1.0144000053	0.8521999717	0.8090000153	0.6000999808	0.5684999824	0.6498000026	0.6664999723	0.6331999898	0.6324999928	0.6471999884	0.6455000043	0.5213000178	0.5285000205	0.5892000198	0.5816000104
4	23.1	26.4	1.0104999542	1.0163999796	0.8518999815	0.809499979	0.5566999912	0.5515000224	0.6495000124	0.6640999913	0.6367999911	0.6347000003	0.6467000246	0.6439999938	0.5098999739	0.5261999965	0.5845999718	0.5806999803
5	30.8	26.5	1.0112999678	1.0197000504	0.8496000171	0.8079000115	0.5673999786	0.5333999991	0.6456999779	0.6607999802	0.6360999942	0.6355000138	0.6449999809	0.6434000134	0.5120000243	0.5320000052	0.5834000111	0.5774000287
6	38.4	26.5	1.0099999905	1.0166000128	0.8496999741	0.8083000183	0.5364999771	0.5199000239	0.6453999877	0.662899971	0.6348999739	0.6347000003	0.6450999975	0.6441000104	0.4711000025	0.4925999939	0.5842999816	0.5774000287
7	46.1	26.6	1.0081000328	1.016800046	0.8515999913	0.8105000257	0.549300015	0.5825999975	0.6523000002	0.6697999835	0.6328999996	0.6333000064	0.6475999951	0.6452999711	0.4925999939	0.5368999839	0.5916000009	0.5849999785
8	53.8	26.5	1.0083999634	1.016299963	0.850300014	0.8097000122	0.5813000202	0.5527999997	0.6488999724	0.6679999828	0.635800004	0.6342999935	0.646600008	0.6445000172	0.5146999955	0.5317000151	0.5863000154	0.5802999735
9	61.5	26.5	1.0083999634	1.0164999962	0.8489000201	0.8091999888	0.5695000291	0.5419999957	0.6491000056	0.6669999957	0.6353999972	0.633400023	0.646600008	0.643599987	0.5224000216	0.5404000282	0.5879999995	0.5809999704
10	69.2	26.6	1.0096000433	1.0177999735	0.8506000042	0.8090999722	0.6090999842	0.5374000072	0.6517999768	0.6650999784	0.6338999867	0.6315000057	0.647300005	0.6406000257	0.5271000266	0.5296000242	0.5911999941	0.581700027
11	76.9	26.5	1.00849998	1.0178999901	0.8476999998	0.8087999821	0.5713000298	0.5583999753	0.6481000185	0.665199995	0.6348000169	0.6340000033	0.6463000178	0.6424999833	0.5217000246	0.5363000035	0.5874000192	0.5784000158
12	84.6	26.7	1.0082999468	1.0183999538	0.8478000164	0.8080999851	0.5260000229	0.5383999944	0.6488999724	0.6646000147	0.6338000298	0.6324999928	0.6449999809	0.6417000294	0.4747000039	0.4934999943	0.5870000124	0.5813000202
13	176.4	26.5	1.0008000135	1.0367000103	0.8198000193	0.8130000234	0.5666000247	0.5713999867	0.6441000104	0.6586999893	0.6212000251	0.6276000142	0.6233999729	0.6747000217	0.475300014	0.5156999826	0.5867999792	0.5863000154
14	184.1	26.7	1.0005999804	1.0348000526	0.8199999928	0.8127999902	0.5605999827	0.576399982	0.6477000117	0.6596000195	  	0.6265000105	0.6230999827	0.6744999886	0.4595000148	0.5227000117	0.5867999792	0.5892000198
15	191.8	26.6	1.0013999939	1.0336999893	0.8199999928	0.810100019	0.534799993	0.5530999899	0.6491000056	0.6561999917	0.6197000146	0.628000021	0.6223999858	0.6714000106	0.4765999913	0.4875999987	0.5867000222	0.5874000192
16	199.5	26.5	1.003000021	1.0334000587	0.8206999898	0.8116000295	0.5569000244	0.5623000264	0.6506000161	0.66049999	0.6201999784	0.6276000142	0.6230999827	0.668299973	0.4833999872	0.5103999972	0.5878000259	0.5892000198
17	207.2	26.7	1.0037000179	1.0322999954	0.8213000298	0.8105999827	0.5745000243	0.5006999969	0.6481999755	0.6560000181	0.6201999784	0.628000021	0.6237999797	0.6653000116	0.4772000015	0.5038999915	0.5877000093	0.5853999853
18	214.9	26.7	1.0041999817	1.0329999924	0.8206999898	0.8097000122	0.6108999848	0.5588999987	0.6464999914	0.6553000212	0.6204000115	0.6294000149	0.6215999722	0.663500011	0.511500001	0.5292000175	0.5857999921	0.5859000087
19	222.6	26.6	1.0025999546	1.0306999683	0.8191999793	0.8080000281	0.5658000112	0.5275999904	0.6456000209	0.6531000137	0.6184999943	0.6284999847	0.6233999729	0.6649000049	0.4523000121	0.4726999998	0.5889999866	0.584100008
20	230.2	26.7	1.0018999577	1.0311000347	0.820200026	0.8073999882	0.5666999817	0.5672000051	0.646600008	0.6538000107	0.6179999709	0.6291999817	0.6227999926	0.6560999751	0.4862999916	0.4963000119	0.5907999873	0.5850999951
21	237.9	26.6	1.0006999969	1.0283999443	0.8206999898	0.8072999716	0.5447000265	0.5418999791	0.6495000124	0.6547999978	0.6200000048	0.6277999878	0.6225000024	0.6570000052	0.4663000107	0.5105000138	0.587199986	0.5867999792
22	245.6	26.7	1.0015000105	1.0288000107	0.8194000125	0.8065000176	0.5715000033	0.5593000054	0.6449000239	0.6516000032	0.6193000078	0.6286000013	0.6223999858	0.6622999907	0.4726999998	0.5157999992	0.5888000131	0.5845000148
23	253.3	26.6	1.003000021	1.0278999805	0.8187999725	0.8057000041	0.5465000272	0.5296000242	0.6413000226	0.6516000032	0.6207000017	0.6284999847	0.6215000153	0.658100009	0.4600000083	0.4844999909	0.5838999748	0.5820000172
24	261	26.7	0.9993000031	1.024799943	0.82099998	0.8062000275	0.5788999796	0.5523999929	0.6524000168	0.6568999887	0.6184999943	0.6276000142	0.6225000024	0.6593000293	0.4801000059	0.5141999722	0.5934000015	0.5886999965
25	268.7	26.6	1.002300024	1.0259000063	0.8198999763	0.8054999709	0.5583999753	0.5374000072	0.6481000185	0.6567999721	0.619599998	0.6286000013	0.6212999821	0.66049999	0.4654999971	0.5123000145	0.5889999866	0.5878000259
26	276.4	26.7	1.0024000406	1.0264999866	0.8199999928	0.8032000065	0.5428000093	0.5315999985	0.644299984	0.6495000124	0.619599998	0.6284999847	0.6201000214	0.6603000164	0.4742000103	0.5070999861	0.5857999921	0.5839999914
27	284.1	26.6	1.0020999908	1.0247000456	0.820900023	0.804799974	0.5667999983	0.5447999835	0.6444000006	0.652700007	0.618900001	0.6283000112	0.6230999827	0.6583999991	0.4981999993	0.521600008	0.5911999941	0.5863000154
28	291.8	26.7	1.0062999725	1.0288000107	0.8253999949	0.8080999851	0.5777000189	0.5552999973	0.65200001	0.6582000256	0.6241000295	0.6316999793	0.6259999871	0.6631000042	0.4921999872	0.4889000058	0.590200007	0.5921000242
