Cycle	Time	Temp	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3	H1	H2	H3
1	0	26.1	0.5588999987	0.5612000227	0.5386000276	0.5677000284	0.5684000254	0.5683000088	0.486499995	0.4871999919	0.4837000072	0.5644000173	0.5583999753	0.5521000028	0.543900013	0.5397999883	0.5536999702	0.5735999942	0.5446000099	0.5626000166	0.4465000033	0.4914000034	0.4805000126	0.5588999987	0.5573999882	0.5533000231
2	7.8	26.1	0.5587999821	0.5612000227	0.5396000147	0.5681999922	0.5677999854	0.5662999749	0.4859000146	0.4893000126	0.4916999936	0.5649999976	0.5562000275	0.5460000038	0.5425000191	0.5386999846	0.5534999967	0.5759000182	0.543900013	0.5625	0.4507000148	0.4934000075	0.4959999919	0.5626999736	0.5573999882	0.5536000133
3	15.5	26	0.5582000017	0.5616000295	0.5400000215	0.5680000186	0.5680000186	0.5672000051	0.4955999851	0.4920000136	0.5005999804	0.5681999922	0.5595999956	0.5508000255	0.5443999767	0.5368000269	0.5519000292	0.5748000145	0.5437999964	0.564800024	0.4821000099	0.5	0.5019999743	0.5649999976	0.5634999871	0.5606999993
4	23.3	26.1	0.5590999722	0.5638999939	0.5407000184	0.5669999719	0.5666000247	0.5662999749	0.4805000126	0.4742999971	0.4794999957	0.564800024	0.5515000224	0.5479000211	0.543900013	0.537899971	0.55400002	0.5745000243	0.5426999927	0.5611000061	0.4650000036	0.4794000089	0.4817999899	0.5619000196	0.5583999753	0.5501999855
5	31	26.1	0.5573999882	0.5613999963	0.5386000276	0.5673000216	0.567900002	0.5694000125	0.4805999994	0.467900008	0.4880999923	0.5674999952	0.557099998	0.5505999923	0.543299973	0.5360999703	0.5518000126	0.575600028	0.5442000031	0.5627999902	0.4862999916	0.4801000059	0.4560000002	0.5633999705	0.5633999705	0.5533999801
6	38.8	26	0.5586000085	0.5611000061	0.5396999717	0.5684000254	0.5691000223	0.5674999952	0.481400013	0.485799998	0.4663999975	0.5676000118	0.5611000061	0.5503000021	0.543299973	0.534799993	0.5522999763	0.5752999783	0.5457999706	0.5630000234	0.475699991	0.4745999873	0.4747000039	0.5637000203	0.5654000044	0.5550000072
7	46.6	26.2	0.5591999888	0.5636000037	0.5394999981	0.5676000118	0.5695000291	0.5695000291	0.4738000035	0.4722000062	0.4720000029	0.5645999908	0.5568000078	0.5473999977	0.5444999933	0.5371999741	0.5518000126	0.5752000213	0.5450000167	0.5625	0.4616999924	0.4762000144	0.4616000056	0.5612999797	0.5595999956	0.5552999973
8	54.3	26.2	0.5572999716	0.5606999993	0.538500011	0.567900002	0.5695000291	0.5691999793	0.4794000089	0.4431999922	0.4684000015	0.567900002	0.5605000257	0.5530999899	0.5419999957	0.5351999998	0.5515999794	0.5766000152	0.5457000136	0.5634999871	0.4454999864	0.472299993	0.4564999938	0.5662000179	0.5651999712	0.5573999882
9	62.1	26.2	0.5582000017	0.5609999895	0.5389000177	0.5683000088	0.5697000027	0.5690000057	0.4968999922	0.4891000092	0.5062000155	0.5656999946	0.5588999987	0.5512999892	0.5425999761	0.5350999832	0.550999999	0.576399982	0.5447000265	0.5625	0.4853999913	0.4837000072	0.4794000089	0.5626000166	0.5623999834	0.5562999845
10	69.9	26.1	0.5587000251	0.5625	0.5396000147	0.5691000223	0.5705000162	0.5677999854	0.4799000025	0.4697000086	0.4871000051	0.5659000278	0.5616999865	0.550999999	0.5424000025	0.5367000103	0.5508999825	0.5759999752	0.5461000204	0.5634999871	0.4665000141	0.4666000009	0.4683000147	0.5659000278	0.5647000074	0.5533000231
