Cycle	Time	Temp	A10	A11	B10	B11	C10	C11	D10	D11	E10	E11	F10	F11	G10	G11	H10	H11
1	0	28.4	40598	35782	24597	22250	36547	23718	24248	22404	37649	29177	25784	24001	2273	2013	32260	29426
2	39.7	28.4	40518	35766	24607	22348	36012	23556	24501	22295	37568	28870	25734	23570	2226	1975	30732	28884
3	79.5	28.6	40475	35754	24788	21869	35570	23038	23897	22117	37543	28674	25197	23399	2060	1941	30990	28588
4	119.2	28.5	40483	37391	23594	21428	35216	23575	18105	17801	37202	28323	25331	23156	2306	2265	31510	28055
5	325.4	28.6	40227	37591	22744	20275	34193	23073	15388	14306	36905	28643	25541	23213	2321	2271	31528	27781
6	365	28.6	40780	36944	21133	19372	34274	22820	13404	11888	36668	28455	25563	23716	2301	2196	31806	28067
8	444.5	28.7	39400	36760	20716	18000	32805	21318	12003	10244	36500	28161	25324	22756	2373	2168	31613	28011
9	484.2	28.7	39255	35712	19821	17899	32440	21169	10803	9079	37085	27766	25751	22863	2320	2189	31258	27862
10	524	28.7	39063	35787	19281	17019	31787	20185	10013	8423	36646	28259	25319	23497	2309	2176	31783	28145
11	563.7	28.8	38203	34916	18873	16412	31736	20226	9587	7859	36280	28070	25095	23055	2221	2144	31577	27968
12	603.4	28.8	37796	34945	18434	16133	30530	19560	9161	7643	36819	28077	24950	23045	2300	2171	31387	28103
13	643.2	28.7	37240	34901	17989	15689	30399	18949	9025	7522	35837	28072	24927	22635	2245	2132	31311	27857
14	682.9	28.8	37851	33878	18111	15943	30081	18631	8999	7537	36817	27856	25205	22531	2340	2124	31598	27969
15	722.7	28.8	36801	34557	17830	15949	29442	18432	9043	7718	35928	27972	25195	22734	2246	2182	30880	27561
16	762.4	28.8	36883	34178	17796	15962	29544	18316	9265	7823	36736	27455	25404	22941	2251	2102	31352	27635
17	802.2	29	36617	33843	17897	15554	29200	17902	9389	8077	36613	27599	24744	22401	2209	2175	30577	27775
18	841.9	29	36507	33378	18172	15937	28981	17947	9490	8190	35979	27579	24839	23209	2226	2193	31206	28012
19	881.7	28.8	35583	33001	17954	15737	28520	17642	9639	8426	36006	27186	24472	22942	2269	2076	31068	27772
20	921.5	29.1	35964	33478	17926	16232	28962	17618	9771	8603	36530	27695	24861	23035	2250	2191	30545	27462
21	961.5	29	36037	33103	18359	16131	28136	17408	10201	9126	35439	27671	24812	22957	2162	2069	31179	27629
22	1001.3	29	36168	33198	18574	16451	28725	17594	10559	9241	35622	27550	24731	22550	2277	2084	30625	27915
