Cycle 	Time	Temp	FPro0	FPro25	FPro50	FPro75	FPro100	FPro0_NoHIsF	FPro50_NoHisF	FPro100_NoHisF
1	0	28	37521	36226	29370	34527	29409	41780	34929	30577
1	0	28.2	37553	36269	29029	33790	29087	41769	35216	30429
2	38.3	28.2	37072	36389	29765	33301	29541	41306	34315	29534
2	38.3	28.2	37698	36050	29575	34292	29730	41682	34749	29981
3	76.5	28.2	36910	36110	29182	33204	28808	41298	34263	29456
3	76.5	28.3	36882	36127	29720	33353	29582	41494	34802	29766
4	114.8	28.2	37236	36641	28806	33572	28275	40607	34839	28933
4	114.8	28.2	37562	36030	29302	34325	29558	39780	35492	29279
5	312.9	28	39326	37278	30574	34780	27826	41446	34678	29401
5	312.9	28	39501	37725	31493	35024	28234	41501	34815	29354
6	351.1	28	38545	37269	30684	34940	28063	40671	34342	29475
6	351.1	28	39362	37647	31499	34809	28230	41073	34476	29910
7	389.4	27.9	38482	37230	30818	34538	27597	39828	33986	29399
7	389.4	27.9	38656	37721	30932	34919	27913	41320	34952	29585
8	427.7	28	37934	36770	30399	34524	27293	40133	33504	28711
8	427.7	28	37720	37773	30850	34448	27787	40805	33491	29651
9	465.9	28	37227	35629	30085	34166	26966	38815	33108	28451
9	465.9	28.2	37890	36463	30270	34848	27783	39707	33676	29246
10	504.2	28	37289	36335	29943	33570	27034	39811	33309	27978
10	504.2	28	37391	37090	30654	33977	27260	39541	34027	29071
11	542.5	28	36835	36293	30259	33451	27260	39195	33255	28516
11	542.5	28.2	36538	37240	30489	34299	27406	38708	33716	28892
12	580.8	28	36097	35785	30104	33134	27095	38953	33388	28238
12	580.8	27.9	36641	35748	30143	33973	27687	39406	33441	29083
13	619	28	36528	36083	30065	33175	26386	39277	32808	28773
13	619	28	37038	36156	29807	34391	26947	39549	32793	28957
14	657.3	27.8	36130	35506	29683	33389	26952	39015	32976	28199
14	657.3	28	36263	35824	29935	33147	27156	39379	32599	29187
15	695.6	28	35941	35318	29309	33188	26423	38514	32190	28329
15	695.6	28	36626	35580	30018	33371	26889	38515	32821	28701
16	733.8	27.9	35825	35473	28982	33278	26584	38345	32313	27841
16	733.8	28	36044	35692	29595	32918	27017	38519	33094	28722
17	772.1	27.9	35167	35055	29108	32062	26442	37724	31953	27947
17	772.1	28	35682	35189	29633	32951	26857	37867	32772	28440
18	810.4	27.9	34867	34773	29259	31876	26149	37246	32665	27618
18	810.4	27.9	35417	35702	28765	33092	26573	37521	32522	27837
19	848.7	27.9	34477	34653	28465	32563	26510	37282	32103	27748
19	848.6	28	35281	34818	29483	33034	26934	38564	32888	27815
20	967.5	28	29160	29468	25353	30089	25363	36424	30902	27032
20	967.5	28	30210	30788	26131	30446	26633	37802	32118	28400
21	1005.8	27.9	26901	28884	24308	30116	25147	37488	31864	27989
21	1005.8	27.8	28684	28925	24140	30358	25607	37712	32010	27897
22	1044	27.9	25947	28094	22901	29122	25135	37096	31666	27287
22	1044	27.9	27196	28520	23165	29694	25145	37356	31670	28095
23	1082.3	27.9	25591	27711	22604	28939	24771	37216	31500	27847
23	1082.3	28	27611	28404	22698	29398	24604	36387	31228	27536
24	1120.6	28	25707	27373	22529	28898	24262	36444	31485	26928
24	1120.6	27.9	26716	27670	22708	29378	24573	37066	31660	27400
25	1158.9	27.9	25673	27122	22006	28604	24962	36091	31605	26882
25	1158.9	28	27309	28311	22802	28607	24334	36383	31156	27408
26	1197.1	28	25923	26893	22441	28193	23392	36634	31415	27524
26	1197.2	27.9	26516	28158	23014	28988	24167	36362	31815	27630
27	1235.4	28	25531	27007	22015	28815	23274	36364	31344	27430
27	1235.4	28	26816	27498	22464	28875	23954	36400	31686	27364
28	1405.1	27.9	25424	26890	22375	27819	22911	34080	30354	26434
28	1405	27.9	25678	26696	22450	27974	23594	34329	30508	26954
29	1443.3	28.2	24864	27028	22911	28335	23505	33146	29796	26485
