Cycle 	Time	Temp	Pro0	Pro25	Pro50	Pro75	Pro100	Pro0_NoHIsF	Pro50_NoHisF	Pro100_NoHisF
1	0	28	37521	36226	29370	34527	29409	41780	34929	30577
2	38.3	28.2	37072	36389	29765	33301	29541	41306	34315	29534
3	76.5	28.2	36910	36110	29182	33204	28808	41298	34263	29456
4	114.8	28.2	37236	36641	28806	33572	28275	40607	34839	28933
5	312.9	28	39326	37278	30574	34780	27826	41446	34678	29401
6	351.1	28	38545	37269	30684	34940	28063	40671	34342	29475
7	389.4	27.9	38482	37230	30818	34538	27597	39828	33986	29399
8	427.7	28	37934	36770	30399	34524	27293	40133	33504	28711
9	465.9	28	37227	35629	30085	34166	26966	38815	33108	28451
10	504.2	28	37289	36335	29943	33570	27034	39811	33309	27978
11	542.5	28	36835	36293	30259	33451	27260	39195	33255	28516
12	580.8	28	36097	35785	30104	33134	27095	38953	33388	28238
13	619	28	36528	36083	30065	33175	26386	39277	32808	28773
14	657.3	27.8	36130	35506	29683	33389	26952	39015	32976	28199
15	695.6	28	35941	35318	29309	33188	26423	38514	32190	28329
16	733.8	27.9	35825	35473	28982	33278	26584	38345	32313	27841
17	772.1	27.9	35167	35055	29108	32062	26442	37724	31953	27947
18	810.4	27.9	34867	34773	29259	31876	26149	37246	32665	27618
19	848.7	27.9	34477	34653	28465	32563	26510	37282	32103	27748
20	967.5	28	29160	29468	25353	30089	25363	36424	30902	27032
21	1005.8	27.9	26901	28884	24308	30116	25147	37488	31864	27989
22	1044	27.9	25947	28094	22901	29122	25135	37096	31666	27287
23	1082.3	27.9	25591	27711	22604	28939	24771	37216	31500	27847
24	1120.6	28	25707	27373	22529	28898	24262	36444	31485	26928
25	1158.9	27.9	25673	27122	22006	28604	24962	36091	31605	26882
26	1197.1	28	25923	26893	22441	28193	23392	36634	31415	27524
27	1235.4	28	25531	27007	22015	28815	23274	36364	31344	27430
28	1405.1	27.9	25424	26890	22375	27819	22911	34080	30354	26434
29	1443.3	28.2	24864	27028	22911	28335	23505	33146	29796	26485
30	1481.6	28	24837	26904	22198	28456	23616	33545	29634	25993
31	1519.8	28.2	24783	26338	22606	28366	23507	32275	29283	25326
32	1558.1	28	24325	26338	22235	28987	23262	32352	29225	25610
33	1596.4	28.2	24578	25754	22203	27922	23570	31873	28498	26845
34	1634.7	28	24884	26152	22479	28951	23773	31966	28140	25457
35	1672.9	28	24659	25910	22653	28772	23859	31005	28103	25701
36	1711.2	28.2	24357	25507	22102	28784	23726	30938	27551	25702
37	1749.5	28.3	24793	25090	22553	28958	23562	30891	27589	25187
38	1787.7	28.2	24531	25067	22404	28830	24010	30251	27359	25470
39	1826	28.2	24712	25132	22506	28797	24207	29474	26667	25711
40	1864.3	28.2	24415	24764	22849	28742	23753	29849	26590	25531
41	1902.6	28.3	24236	25046	22869	28056	24296	29545	26306	25417
42	1940.8	28	24022	24818	22773	28656	24244	29459	25875	24914
43	1979.1	28.3	24206	25253	22879	28931	24545	28488	25883	25026
44	2017.4	28.2	24350	24724	22959	28864	24011	28342	25599	24891
45	2055.6	28.2	24556	24910	22968	28408	24666	28013	25509	24945
46	2093.9	28.2	24307	24966	22800	29054	24811	27777	25119	25131
47	2132.2	28	24080	24524	23003	28778	24205	27367	24688	24781
48	2170.4	28.3	23951	25050	22818	28983	25066	26948	24349	25262
49	2208.7	28.2	23774	24934	23185	28841	24638	26456	24582	25053
50	2247	28.2	24222	25001	23302	29434	24571	26732	23460	24506
51	2285.3	28.2	24065	25171	23254	29208	24951	26343	23796	24419
52	2323.5	28.3	23702	25186	23234	29479	24580	26136	23988	24452
53	2361.8	28.2	23691	25105	23809	29573	24940	25754	23918	24752
54	2400.1	28	24059	25000	23614	28922	24913	25990	23531	24492
55	2438.4	28	24163	24809	23558	29460	24889	25289	23501	24875
56	2476.6	28.2	23823	24413	23705	29479	25174	25371	23525	24859
57	2514.9	28.2	24186	24517	23791	29755	24740	24507	23447	24232
58	2553.2	28	23937	24705	23522	28616	24588	24093	22670	23760
59	2591.4	27.9	24118	25362	23367	29976	24899	24166	23152	24399
60	2629.7	28	24452	25311	23911	30322	25593	24622	22978	24843
61	2668	28	24461	25335	23559	30273	24943	24238	23000	24716
62	2706.3	28.2	24243	25559	24124	30095	25246	24199	22401	24684
63	2744.6	28	23922	25033	24311	30134	25835	24170	22754	24346
64	2782.9	28	24508	25230	24374	30407	26102	23554	22698	24161
