Cycle	Time	Temp	Pra_62	GTP_50	Pra_37	GTP_25	Pra_20	GTP_10	Pra_10	GTP_5	Pra_6.25	GTP_2	Pra_3.75	GTP_1	Pra_2.50	GTP_.5	Pra_1.25	GTP_0
1	0	25.1	42083	1410	25828	1374	14366	1327	8233	1413	5573	1324	4119	1402	2845	1369	2509	1391
2	19.9	25.1	40678	1326	25501	1437	14110	1327	8075	1320	5564	1310	4024	1351	2793	1396	2345	1319
3	39.7	25.2	40895	1315	25465	1297	13875	1292	7891	1316	5471	1294	3997	1343	2758	1346	2385	1356
4	220.3	25.2	19714	1364	8663	1321	5703	1323	4074	1288	3304	1289	2707	1324	2333	1240	2035	1302
5	240.1	25.3	15896	1326	10134	1323	5540	1256	3882	1278	3013	1272	2495	1326	2053	1328	1908	1358
6	260.1	25.4	13610	1308	8562	1313	5142	1257	3545	1318	2921	1259	2441	1365	2070	1322	1918	1319
7	279.9	25.3	11335	1335	7355	1319	4888	1297	3370	1322	2903	1329	2437	1351	2099	1384	1886	1371
8	299.8	25.3	10641	1371	7184	1358	4744	1261	3399	1338	2796	1316	2497	1365	2155	1301	1918	1360
9	319.7	25.4	10089	1352	7001	1299	4769	1254	3393	1343	3067	1334	2443	1347	2105	1340	1833	1352
10	339.6	25.4	10186	1330	6934	1293	4713	1260	3345	1263	2985	1282	2402	1412	2036	1334	1825	1290
11	359.5	25.4	10482	1355	6835	1292	4800	1315	3439	1323	2856	1249	2346	1310	1926	1287	1859	1359
12	379.3	25.4	10786	1350	6712	1364	4616	1238	3370	1346	2872	1329	2430	1341	2070	1331	1752	1307
13	551.4	25.6	14098	1339	3718	1291	2676	1222	2112	1308	2240	1302	1976	1300	1668	1373	1727	1315
14	571.2	25.7	13933	1308	2758	1300	2266	1239	2139	1325	2195	1278	1950	1247	1812	1338	1651	1388
15	591.1	25.6	13779	1256	2325	1326	1972	1229	2081	1277	2272	1272	2014	1339	1707	1306	1752	1341
16	611	25.7	13935	1283	2026	1309	1867	1231	2118	1316	2246	1231	1994	1357	1784	1306	1716	1373
17	630.9	25.6	13993	1257	1898	1271	1919	1242	2129	1352	2139	1322	1982	1342	1724	1355	1716	1338
18	650.8	25.7	13603	1288	1973	1223	1867	1262	2021	1282	2049	1319	1871	1332	1741	1297	1745	1311
19	670.6	25.7	13803	1235	1907	1240	1945	1270	2027	1322	2135	1290	2001	1294	1767	1291	1741	1371
20	690.5	25.7	13600	1293	1912	1273	1887	1245	2037	1328	2190	1275	1927	1345	1736	1332	1781	1399
21	710.4	25.8	13695	1274	1999	1328	1916	1258	2067	1361	2074	1290	1946	1325	1731	1257	1712	1374
22	730.3	25.8	13779	1263	1879	1275	1854	1266	2081	1272	2084	1243	1943	1295	1782	1333	1683	1314
23	750.2	25.8	13451	1302	1822	1346	1904	1204	2009	1363	2107	1261	1912	1320	1734	1286	1675	1313
24	770.1	25.8	13846	1317	1953	1271	1852	1256	2011	1273	2049	1307	1945	1317	1735	1301	1661	1389
25	790	25.8	13596	1281	1880	1317	1917	1288	2009	1300	2082	1286	1985	1289	1726	1305	1642	1293
