Cycle Nr.	Time [s]	Temp. [°C]	Pra0	ProFAr0	Pra25	ProFAr25	Pra50	ProFAr50	Pra75	ProFAr75	Pra100	ProFAr100	Pra0	ProFAr0	Pra25	ProFAr25	Pra50	ProFAr50
1	0	26.5	891	26243	12661	22596	22492	21218	32639	19938	41872	18337	1073	26581	22946	22262	42158	19759
2	40.5	26.6	830	26240	12830	21873	22291	21163	31954	20006	42792	18314	1043	25729	22840	21952	40961	19667
3	81	26.6	864	26357	12614	22108	22519	21243	32382	20066	41690	18232	999	25327	22711	21925	40930	19600
4	423.5	26.7	1031	24494	10920	18276	22410	20895	32161	19967	41918	18212	1168	23175	21978	21772	40922	20129
5	464	26.6	1059	22804	10364	18165	21941	19311	32365	18761	40962	18033	1127	21222	21766	20841	41471	18948
6	504.5	26.6	1021	22739	9840	18218	21749	18485	31870	18721	41327	17818	1169	21156	21228	20303	41190	18963
7	545	26.9	1024	22548	9316	18127	21504	17635	32059	18212	40949	17825	1193	19940	21458	19391	41461	18353
8	585.5	26.7	1083	22040	9109	18170	21351	17224	31760	17917	40978	17492	1156	19540	20963	19377	40964	18141
9	692.3	26.9	1055	21031	8314	17720	21111	16083	30957	17372	40760	16684	1123	17924	20926	18289	40328	18055
10	732.8	27	1043	21554	8424	17882	21115	16192	30733	17306	40381	17067	1116	17442	20209	18295	40438	18019
11	773.4	27	1031	21312	8422	17481	20976	16133	30673	17376	39953	16883	1148	17651	20010	18370	40373	17569
12	907	27.1	1030	19870	7715	17242	20287	15415	29940	16403	39019	16245	1095	16173	19387	17660	38506	17318
13	947.5	27.1	1022	20619	7438	17732	20321	15612	29835	16592	39331	16387	1158	16214	19499	17832	39075	16909
14	988	27.1	1016	20523	7191	17431	20148	15434	29564	16639	38930	16405	1141	16159	20070	17600	39030	17212
15	1028.5	27.3	1030	20499	7188	17427	20153	15409	29909	16854	39296	16518	1123	15948	19598	17864	38689	17527
16	1120.7	27.1	1160	18638	6377	17189	18498	15100	27429	16313	37451	16307	1413	15321	18052	16699	36630	16633
17	1161.2	27.1	1148	17676	5934	16126	17524	14996	27115	15994	36491	15638	1288	13964	17695	15891	36199	16058
18	1201.7	27.3	1149	17528	5878	15644	17605	15233	26652	15445	36011	15449	1347	13379	16926	15284	35573	15753
19	1242.2	27.4	1108	17438	6030	15390	17259	15418	26149	15096	36523	15039	1361	13055	16717	14993	35599	15486
20	1282.8	27.3	1160	17845	6156	15459	17353	15330	25959	15043	35547	15050	1392	13118	16675	14902	35254	15721
21	1323.3	27.4	1162	18193	6248	15455	16911	15661	26041	15119	36899	14930	1332	12780	16708	15031	35574	15498
22	1424	27.3	1250	17819	6538	14292	16936	15713	26463	15015	35957	14792	1395	12919	17114	14523	34987	15028
23	1464.5	27.3	1282	17747	6420	14682	16968	15721	26448	15034	36746	14678	1423	12442	16613	14918	35286	15114
24	1505	27.4	1288	17609	6279	14658	16670	15953	26504	15182	36413	15082	1447	12409	16566	15346	35212	15120
25	1545.5	27.4	1364	17843	6428	14754	16808	16460	26186	15670	36529	15372	1443	12323	16539	15217	35352	15559
26	1586	27.5	1324	17972	6415	14893	17087	16235	26627	15685	36289	15555	1425	12631	16678	15103	35195	15602
27	1626.5	27.4	1337	18189	6366	14619	16814	16372	26536	15924	36545	15604	1440	12599	16220	15597	35581	15899
28	1667	27.4	1320	17877	6409	15040	17007	16616	26537	16139	36435	15731	1479	12452	16498	15520	35020	16139
29	1707.5	27.5	1345	18012	6273	14860	17098	16797	26320	16244	36400	16087	1472	12575	16399	15306	35454	16181
30	1748	27.5	1342	18069	6363	14627	16939	16701	26362	16075	36501	16211	1468	12456	16164	15845	35167	16310
31	1788.5	27.7	1351	18022	6319	14832	16943	16689	26394	16399	36627	16563	1541	12689	16239	15790	35390	16437
32	1829	27.7	1335	18279	6425	14680	16964	16869	26404	16530	36683	16547	1487	12679	16503	15781	35097	16633
33	1869.5	27.5	1331	17771	6456	14456	16847	16583	25980	16353	36802	16262	1510	12511	15917	15475	35392	16521
34	1910	27.5	1371	18318	6419	14539	16621	16638	25817	16488	35959	16516	1487	12537	15962	15866	35552	16579
35	1950.4	27.7	1368	17992	6555	14687	16947	16901	26426	16580	36935	16980	1535	12640	16164	15868	35969	16929
36	1991	27.7	1414	17863	6442	14922	17102	16724	26595	16698	37031	16823	1494	12622	16274	15856	35789	16911
37	2031.5	27.7	1362	17814	6483	14672	17148	16861	26697	17041	36964	17176	1538	12689	16395	16106	36005	17063
38	2071.9	27.8	1371	17893	6400	14627	17250	16759	26788	17111	37070	17498	1569	12590	16164	16085	36284	17204
39	2112.5	27.7	1378	18187	6459	14496	17380	16752	26662	17202	37098	17407	1502	12577	16107	16234	36127	17745
40	2153	27.8	1437	17992	6341	14714	17558	16971	26813	17399	36727	17727	1544	12864	16237	16273	36217	17364
41	2193.5	27.8	1414	17893	6472	14660	17506	16835	26956	17101	37156	17385	1549	12777	16392	16087	36514	17431
42	2234	27.8	1404	17663	6495	14948	17444	16581	27047	17417	37599	17558	1555	12689	16270	16377	36025	17676
43	2274.5	27.8	1464	17674	6457	14684	17510	16925	27382	17477	37371	17882	1623	12768	16540	16089	36467	17611
44	2315	27.9	1439	18016	6494	14854	17744	16895	27473	17322	37419	17986	1613	12490	16349	16457	37017	17720
45	2355.5	27.9	1439	17500	6318	14562	17447	16915	26934	17346	36864	17569	1528	12531	16322	16367	36453	17744
46	2396	27.9	1420	17892	6365	14909	17565	17019	27060	17520	37721	18137	1586	12570	16647	16459	37212	18160
47	2436.5	27.8	1487	17838	6352	15103	17553	16955	27418	17775	37642	17973	1531	12856	16472	16363	36970	18152
48	2477	27.8	1414	18046	6364	15104	17855	17037	27658	17506	37385	18276	1572	12723	16961	16455	37749	18324
49	2517.5	27.9	1465	18073	6367	15161	17862	16912	27604	17900	38092	18754	1645	12727	17118	16349	37097	18361
50	2558	27.8	1461	17689	6408	15136	18018	16904	27934	18076	37622	18505	1586	12641	16807	16659	37322	18222
51	2598.5	27.9	1435	17897	6292	15585	18031	16919	27588	17663	38044	18785	1650	12488	16891	16631	37493	18480
52	2639	27.8	1464	17783	6368	15326	18203	16777	27661	17888	38371	18507	1628	12742	17067	16384	37746	18494
53	2679.5	27.8	1435	17597	6316	15189	17789	16857	27896	17957	38742	18417	1651	12745	16868	16566	37894	18703
54	2720	27.9	1516	17984	6274	15278	18490	16941	28099	17960	38587	18507	1637	12524	16764	16596	37483	18554
55	2760.5	27.9	1457	17566	6347	15454	18470	16746	28117	18098	39123	18929	1580	12808	17271	16882	37826	18654
56	2801	27.8	1509	17902	6445	15213	18276	16839	28021	17735	39024	18550	1651	12823	17230	16254	37876	18740
57	2841.5	28	1541	17799	6289	15525	18317	16809	28072	17898	38898	18512	1619	12568	16979	16553	37770	18935
58	2882	27.9	1500	17736	6349	15619	18318	16666	27980	18116	38982	18626	1606	12723	17068	16430	38610	18696
59	2922.5	27.9	1547	17809	6307	15509	18449	17007	27889	17734	39249	18569	1594	12839	17455	16605	38112	18728
