Application: Tecan i-control				Tecan i-control , 1.8.50.0				
Device: infinite M1000				Serial number: 902005916				
Firmware: V_1.35_08/2010_S3F (Aug 11 2010/09.36.01)				MAI, V_1.35_08/2010_S3F (Aug 11 2010/09.36.01)				
								
Date:	19/08/2015							
Time:	01:06:24 p.m.							
								
								
System				BA-06679A1CA79C				
User				BA-06679A1CA79C\Infinite Reader				
Plate				Nunclon 96 Flat Bottom Black Polystyrol LumiNunc FluoroNunc [NUN96fb_LumiNunc FluoroNunc.pdfx]				
Plate-ID (Stacker)								
								
List of actions in this measurement script:								
Kinetic								
Fluorescence								
								
								
Label: Label1								
Kinetic Measurement								
Kinetic duration				0:50:00				
Interval Time				Minimal				
Mode				Fluorescence Top Reading				
Excitation Wavelength				255	nm			
Emission Wavelength				334	nm			
Excitation Bandwidth				5	nm			
Emission Bandwidth				5	nm			
Gain				216	Optimal (100%)			
Number of Flashes				50				
Flash Frequency				400	Hz			
Integration Time				20	µs			
Lag Time				0	µs			
Settle Time				0	ms			
Z-Position (Manual)				20000	µm			
Part of Plate				A12-F12				
Start Time:	19/08/2015 01:06:50 p.m.							
								
								
Cycle Nr.	Time [s]	Temp. [°C]	A12	B12	C12	D12	E12	F12
1	0	28.3	20463	21175	39594	40242	21481	21286
2	2.9	28.3	21391	21029	37906	40012	20418	21160
3	5.8	28.2	21644	21369	38444	40878	20647	21095
4	8.6	28.2	20950	21205	37708	40198	20313	21089
5	40.8	28	21445	21515	38483	41681	40842	37316
6	43.7	28.2	22332	22086	39731	41330	42108	36993
7	46.6	28.2	22003	21672	39785	40811	41486	37909
8	49.5	28.2	22215	22156	40693	40852	39192	36964
9	52.3	28.2	21853	21110	40304	42860	41243	36966
10	55.2	28.2	22212	20882	39702	42617	39533	37087
11	58.1	28.2	22018	22004	40892	40827	39820	37034
12	61	28.3	21593	22286	40581	42722	41152	36629
13	63.9	28.3	22442	21166	39079	42161	40058	37158
14	66.8	28.2	21571	21610	39670	41550	40194	36535
15	69.6	28.2	22426	21261	39681	39899	39863	35881
