,iter,time,cond,fx,-loglk,||h||,||e||
0,1,34.5,1045.92,2807129.0,2807037.2,140.8,1.0
1,2,52.0,546.17,2572286.2,2572194.5,140.8,3.3
2,3,69.5,546.13,2420501.8,2420310.0,140.8,6.1
3,4,87.2,746.99,2292158.5,2290733.8,140.7,11.2
4,5,104.9,414.51,2215935.8,2213178.0,140.7,13.8
5,6,122.8,347.25,2169287.8,2165005.0,140.7,16.0
6,7,140.7,393.94,2102759.5,2093400.9,140.7,20.4
7,8,158.6,587.31,2051522.4,2030620.8,140.6,26.3
8,9,176.4,367.63,1996840.2,1973717.8,140.6,27.5
9,10,194.3,350.16,1944534.0,1920771.5,140.6,28.1
10,11,212.4,377.41,1905923.5,1881134.8,140.6,28.8
11,12,230.3,393.95,1860308.6,1830839.5,140.5,31.2
12,13,248.1,278.63,1816843.2,1781672.2,140.5,33.6
13,14,266.0,278.59,1780073.0,1737107.8,140.5,36.6
14,15,284.0,343.62,1744960.8,1688238.6,140.5,41.2
15,16,301.7,268.70,1715881.5,1645417.8,140.4,45.2
16,17,319.9,208.11,1694607.8,1619233.5,140.4,46.6
17,18,338.1,233.30,1663027.1,1578124.5,140.4,49.1
18,19,356.1,336.05,1643618.8,1549524.9,140.4,51.4
19,20,374.2,203.65,1623419.4,1524029.1,140.4,52.7
20,21,392.0,184.64,1602164.4,1494837.4,140.3,54.6
21,22,409.9,190.28,1585477.2,1467898.1,140.3,56.9
22,23,427.7,217.31,1565703.2,1431692.0,140.3,60.3
23,24,445.6,231.68,1549906.2,1398697.0,140.3,63.7
24,25,463.2,142.12,1536524.5,1379482.5,140.2,64.8
25,26,480.9,137.27,1526174.5,1364704.6,140.2,65.7
26,27,498.7,170.57,1514146.0,1341597.0,140.2,67.7
27,28,516.7,171.43,1502599.9,1317420.1,140.2,69.9
28,29,534.7,119.05,1493109.9,1302129.0,140.2,70.9
29,30,552.7,126.68,1482379.5,1283132.2,140.2,72.3
30,31,570.9,154.51,1473666.9,1264410.4,140.1,73.9
31,32,588.8,111.73,1464852.4,1247093.1,140.1,75.3
32,33,606.8,144.62,1455835.0,1225296.1,140.1,77.3
33,34,624.7,129.96,1449582.0,1212533.9,140.1,78.3
34,35,642.8,101.05,1444939.1,1206831.2,140.1,78.5
35,36,661.0,112.74,1436839.5,1192863.5,140.1,79.4
36,37,679.0,166.79,1432733.0,1180815.9,140.0,80.6
37,38,697.4,98.53,1428797.4,1175151.0,140.0,80.9
38,39,715.5,69.73,1423545.0,1163169.0,140.0,81.9
39,40,733.7,73.28,1420483.2,1155476.4,140.0,82.6
40,41,752.0,221.86,1418410.8,1137392.9,140.0,84.9
41,42,770.1,76.54,1411490.0,1131449.2,140.0,84.7
42,43,788.0,60.25,1409618.8,1132101.1,140.0,84.4
43,44,806.1,71.23,1406993.6,1130572.6,140.0,84.3
44,45,824.4,104.70,1402381.0,1123276.6,139.9,84.7
45,46,842.5,95.59,1398313.0,1118112.5,139.9,84.9
46,47,860.8,62.25,1395302.0,1113633.1,139.9,85.1
47,48,878.8,65.63,1391902.9,1109457.6,139.9,85.2
48,49,896.7,95.50,1389750.9,1108465.1,139.9,85.1
49,50,914.8,58.26,1387577.1,1107962.8,139.9,84.9
50,51,933.1,56.12,1384936.6,1109232.4,139.9,84.3
51,52,951.4,74.58,1383595.1,1110559.1,139.9,84.0
52,53,969.8,50.20,1381992.8,1111072.0,139.9,83.7
53,54,988.1,51.91,1379932.4,1111712.4,139.9,83.4
54,55,1006.3,74.00,1378784.4,1112496.2,139.8,83.1
55,56,1024.4,45.15,1377759.4,1111591.8,139.8,83.1
56,57,1042.6,37.27,1376350.0,1111148.6,139.8,83.0
57,58,1060.8,44.27,1375405.6,1111404.5,139.8,82.8
58,59,1078.8,74.19,1374223.9,1113105.1,139.8,82.5
59,60,1096.9,36.17,1373192.2,1112617.4,139.8,82.4
60,61,1115.0,32.32,1372664.1,1112287.2,139.8,82.4
61,62,1132.9,39.48,1371857.5,1112304.0,139.8,82.3
62,63,1151.0,72.65,1371394.1,1113432.1,139.8,82.1
63,64,1168.8,28.67,1370755.5,1112803.0,139.8,82.1
64,65,1186.9,23.62,1370384.8,1112676.1,139.8,82.1
65,66,1204.9,27.41,1369915.2,1112784.8,139.8,82.0
66,67,1222.8,40.89,1369246.6,1113016.9,139.7,81.9
67,68,1240.8,51.21,1368848.0,1113648.9,139.7,81.8
68,69,1258.9,19.99,1368499.1,1113076.0,139.7,81.8
69,70,1276.7,18.61,1368318.1,1112820.1,139.7,81.8
70,71,1294.6,23.41,1368017.2,1112582.9,139.7,81.8
71,72,1312.7,40.43,1367649.1,1112399.8,139.7,81.8
72,73,1330.7,19.43,1367291.6,1112223.6,139.7,81.8
73,74,1348.8,14.94,1367103.9,1112084.1,139.7,81.8
74,75,1366.8,19.31,1366840.1,1111800.9,139.7,81.8
