Cycle	Time	Temp	A7	B7	C7	D7	E7	F7	G7	H7
1	0	26.2	42053	21792	13721	8203	6841	5373	4602	4383
2	22.7	26.4	39557	21796	14084	8202	6888	5267	4626	4328
3	45.4	26.4	38991	21830	14443	8409	7070	5495	4688	4312
4	68.2	26.5	38537	21789	14877	8517	7009	5310	4607	4386
5	90.9	26.4	37987	21801	14335	8582	6948	5419	4671	4264
6	242.4	26.4	29609	19413	12704	6823	6584	5141	4261	4243
7	265.1	26.6	25299	18786	12594	5939	6436	4960	3872	4009
8	287.8	26.4	23031	18410	12367	5238	5926	4917	3734	3910
9	310.5	26.6	20596	18408	12343	4761	5883	4855	3677	4026
10	333.3	26.6	19466	18235	12320	4415	5897	5005	3683	4200
11	356	26.6	18670	18418	12175	4521	5664	4925	3801	4118
12	378.8	26.6	17954	18277	12257	4542	5596	4859	3708	3961
13	401.5	26.6	17778	18356	12310	4583	5497	4908	3851	4080
14	424.2	26.6	17787	18327	11956	4562	5458	4951	3806	3998
15	446.9	26.6	17715	18105	12055	4471	5266	4791	3752	3945
16	469.6	26.7	17579	18020	11797	4526	5219	4725	3756	4027
17	492.4	26.7	18046	17759	11888	4533	5260	4674	3759	4017
18	515.1	26.6	18462	17978	11629	4639	5269	4840	3842	4014
19	630.3	26.7	7924	17082	9742	3399	3527	3352	3520	3838
20	653	26.7	7150	16996	9233	3315	3552	3534	3505	3912
21	675.7	26.9	6577	16524	8720	3383	3470	3550	3451	3829
22	698.4	26.9	6267	16582	8070	3497	3577	3539	3490	3829
23	721.1	26.9	6306	16264	7535	3399	3444	3556	3524	3855
24	743.8	26.7	6357	16209	7422	3277	3486	3496	3501	3798
25	766.5	26.9	6563	16014	6825	3366	3582	3578	3492	3861
26	789.3	27	6318	16113	6375	3365	3506	3520	3542	3904
27	812	26.9	6410	15937	6052	3358	3509	3432	3524	3893
28	834.7	27	6304	15693	5894	3355	3510	3461	3477	3937
29	857.4	27	6509	15205	5446	3382	3543	3451	3501	3790
30	880.1	26.9	6352	15157	5247	3429	3602	3501	3498	3766
31	902.9	26.9	6521	15072	4974	3430	3507	3512	3537	3787
32	925.6	27	6562	14935	4647	3334	3577	3464	3380	3702
33	948.4	27	6396	14615	4521	3362	3543	3416	3626	3725
34	971.1	27.1	6463	14447	4586	3392	3639	3464	3528	3723
35	993.9	27	6636	14420	4368	3475	3525	3442	3469	3745
36	1016.6	27.3	6410	14415	4322	3397	3624	3422	3478	3826
37	1039.4	27.1	6423	13560	4308	3428	3519	3545	3413	3951
38	1062.1	27.1	6482	13417	4148	3437	3562	3399	3504	3866
39	1084.8	27.1	6457	13405	4293	3428	3565	3537	3466	4013
40	1107.6	27.3	6596	13064	4137	3290	3584	3494	3438	3880
41	1130.3	27.3	6471	12727	4192	3394	3450	3431	3558	3673
42	1153	27.3	6666	12701	4099	3296	3481	3518	3465	3971
43	1175.8	27.4	6524	12405	4068	3367	3608	3548	3632	3843
44	1198.5	27.3	6541	12041	4138	3486	3572	3507	3435	3850
45	1221.3	27.3	6578	11873	4117	3309	3501	3398	3507	3793
46	1244	27.3	6560	11777	3961	3363	3617	3474	3517	3847
47	1266.7	27.3	6470	11345	4015	3416	3513	3558	3413	3844
48	1289.4	27.4	6665	11244	3984	3305	3539	3327	3499	3969
49	1312.2	27.4	6676	10933	4041	3361	3540	3368	3481	3736
50	1334.9	27.4	6630	10505	4042	3421	3453	3426	3511	3823
51	1357.7	27.4	6346	10404	3923	3345	3498	3343	3478	3727
52	1380.4	27.4	6447	10171	3857	3310	3362	3352	3427	3832
53	1403.2	27.4	6512	9970	3950	3328	3554	3475	3476	3708
54	1425.9	27.4	6495	9962	3960	3368	3518	3471	3527	3745
55	1448.6	27.5	6602	9520	3839	3345	3484	3390	3447	3768
56	1471.4	27.4	6516	9453	3881	3365	3522	3495	3555	3679
57	1494.1	27.4	6518	8885	3806	3341	3468	3330	3536	3830
58	1516.8	27.4	6370	8711	3953	3241	3505	3363	3526	3884
59	1539.6	27.4	6615	8474	3881	3491	3539	3327	3474	3677
60	1562.3	27.5	6592	8223	3911	3397	3422	3490	3452	3705
61	1585	27.5	6600	8234	3748	3344	3619	3515	3567	3717
62	1607.8	27.5	6588	7822	3705	3369	3644	3443	3423	3728
63	1630.5	27.5	6496	7367	3781	3411	3433	3372	3475	3785
64	1653.2	27.5	6470	7323	3890	3313	3444	3490	3438	3811
65	1675.9	27.5	6643	7223	3871	3384	3587	3440	3472	3765
66	1698.6	27.7	6454	6883	3769	3441	3454	3352	3446	3779
67	1721.4	27.5	6447	6684	3721	3377	3584	3449	3489	3921
68	1744.1	27.7	6507	6042	3785	3394	3490	3374	3585	3745
69	1766.8	27.4	6447	5926	3715	3429	3617	3365	3498	3773
70	1789.5	27.7	6493	5724	3770	3366	3513	3445	3542	3884
71	1812.2	27.5	6607	5481	3703	3433	3552	3444	3429	3812
72	1834.9	27.7	6528	5320	3664	3415	3496	3401	3505	3769
73	1857.6	27.7	6495	5057	3736	3282	3495	3428	3522	3969
74	1880.4	27.4	6541	4909	3800	3420	3562	3393	3442	3998
75	1903.1	27.7	6360	4662	3826	3311	3559	3348	3532	3867
76	1925.8	27.7	6642	4537	3762	3460	3601	3548	3540	3655
