Cycle	Time	Temp	A10	A11	B10	B11	C10	C11	D10	D11	E10	E11	F10	F11	G10	G11	H10	H11
8	444.5	28.7	1.2531000376	1.2405999899	0.945900023	0.9211000204	0.7677000165	0.7766000032	0.9118000269	0.9226999879	1.2209999561	1.1857999563	0.9520000219	0.9430000186	0.6306999922	0.6287999749	0.6467999816	0.6294999719
9	484.2	28.7	1.2517999411	1.2427999973	0.945299983	0.9215000272	0.7372000217	0.8251000047	0.91049999	0.9193999767	1.222200036	1.184499979	0.9524999857	0.9430000186	0.6474999785	0.614199996	0.6467999816	0.6276000142
10	524	28.7	1.2546000481	1.2419999838	0.9473000169	0.924300015	0.7914000154	0.8205000162	0.9106000066	0.923699975	1.2237999439	1.1859999895	0.9535999894	0.9448000193	0.6410999894	0.6177999973	0.6453999877	0.631099999
11	563.7	28.7	1.2534999847	1.2393000126	0.9484999776	0.9230999947	0.8098000288	0.7096999884	0.9146999717	0.9247999787	1.2231999636	1.1852999926	0.9526000023	0.9445000291	0.6478000283	0.6266000271	0.6455000043	0.6323000193
12	603.4	28.7	1.2647999525	1.2512999773	0.9545999765	0.9311000109	0.8368999958	0.7570999861	0.9194999933	0.9276999831	1.2323999405	1.1962000132	0.9605000019	0.951399982	0.6503000259	0.6417999864	0.6532999873	0.633400023
13	643.2	28.8	1.2539000511	1.2417999506	0.9476000071	0.924300015	0.7559000254	0.733799994	0.9139000177	0.9240000248	1.222200036	1.1843999624	0.9527000189	0.9438999891	0.5950999856	0.6093000174	0.6492999792	0.631099999
14	682.9	28.8	1.2617000341	1.2517999411	0.9559999704	0.9336000085	0.7947000265	0.7788000107	0.9230999947	0.9315999746	1.234400034	1.1943000555	0.9617000222	0.9535999894	0.6642000079	0.662800014	0.655099988	0.6370000243
15	722.7	29	1.255300045	1.244699955	0.9502000213	0.9257000089	0.8281000257	0.7914999723	0.9132000208	0.9247999787	1.2265000343	1.1849999428	0.9556000233	0.9465000033	0.6401000023	0.6600999832	0.6486999989	0.6337000132
16	762.4	29	1.256000042	1.2446000576	0.9495999813	0.9258999825	0.7836999893	0.7468000054	0.9142000079	0.9298999906	1.2249000072	1.1856000423	0.9539999962	0.945900023	0.6161999702	0.6193000078	0.6493999958	0.6323999763
17	802.2	29	1.2573000193	1.2451000214	0.9494000077	0.9269000292	0.7893000245	0.7874000072	0.9146000147	0.9277999997	1.2261999846	1.1875	0.954400003	0.945299983	0.6610999703	0.6301000118	0.6503999829	0.6324999928
18	841.9	29	1.2561999559	1.2453999519	0.9498999715	0.9272999763	0.7856000066	0.7646999955	0.9168000221	0.9229999781	1.2246999741	1.1872999668	0.9557999969	0.94599998	0.6298000216	0.5986999869	0.6503000259	0.632799983
19	881.7	29	1.2583999634	1.2473000288	0.951300025	0.9286999702	0.8410999775	0.7781999707	0.9154000282	0.924300015	1.2282999754	1.1883000135	0.9552000165	0.94599998	0.6549000144	0.6297000051	0.6482999921	0.6316999793
20	921.5	29	1.2594000101	1.2465000153	0.9510999918	0.9304000139	0.7975999713	0.7653999925	0.9161999822	0.9254999757	1.2271000147	1.1964999437	0.9574000239	0.9538000226	0.6147999763	0.6123999953	0.6507999897	0.6362000108
21	961.5	29.1	1.2676999569	1.2548999786	0.9600999951	0.9388999939	0.7935000062	0.7957999706	0.9287999868	0.9397000074	1.2335000038	1.1955000162	0.9641000032	0.9542999864	0.6335999966	0.6424000263	0.6586999893	0.6413999796
22	1001.3	29.1	1.2573000193	1.2474000454	0.9510999918	0.9298999906	0.8328999877	0.7915999889	0.9174000025	0.9255999923	1.2288999557	1.1892999411	0.956799984	0.9473999739	0.6572999954	0.6097999811	0.6481999755	0.6320999861
23																		

