Cycle	Time	Temp	A10	B10	C10	D10	E10	F10	G10	H10
1	0	26.9	55237	34670	19443	9157	5203	3896	2735	1588
2	2.6	26.9	54297	34668	19125	9014	5107	3860	2662	1582
3	5.2	26.9	53640	33901	19474	9044	5109	3961	2582	1567
4	7.8	26.9	53549	33893	19442	9001	5094	4002	2552	1718
5	10.4	26.9	53269	34746	19381	9026	5154	3831	2650	1679
6	13	26.9	53286	34012	19550	9311	4976	3897	2676	1708
7	15.6	27	53167	33841	19465	9190	5155	3906	2575	1637
11	189.4	27	39204	22422	8122	5584	2937	1085	782	474
12	192	27	37531	22378	7519	5521	2840	1124	796	445
13	194.6	26.9	37142	22167	7195	5491	2690	1152	761	438
14	197.2	26.9	36857	21295	7107	5308	2660	1053	758	496
15	199.8	27.1	37697	21300	6930	5238	2585	1151	790	418
16	202.4	27.1	36779	20998	6691	5172	2620	1112	776	461
17	205	26.9	37410	20522	6488	5153	2462	1067	712	482
18	207.6	26.9	36535	20704	6289	5002	2490	1006	796	442
19	210.2	27	36715	20553	6107	5000	2372	1089	737	462
20	212.8	27	37057	20516	5879	4825	2333	1080	759	462
21	215.5	27	36858	19631	5921	4776	2288	1083	805	492
22	218	27	36057	19572	5729	4641	2206	1059	808	466
23	220.6	27	36544	19636	5568	4591	2221	1034	803	437
24	223.2	27	35794	19469	5265	4556	2216	1015	811	478
25	225.8	27	36779	19360	5290	4438	2149	1090	735	406
26	228.4	27	36258	19115	5070	4422	2138	1055	777	464
27	231	27	36018	19340	4885	4320	2027	1107	776	453
28	233.6	27	35970	19008	4694	4062	2020	1032	727	445
29	236.2	26.9	35397	18150	4756	4108	2010	1112	857	430
30	238.8	26.9	35369	18301	4575	4110	1934	1101	796	478
31	241.5	27	35574	18391	4569	3969	1848	1079	782	453
32	244.1	27	36334	17937	4449	3875	1939	1029	843	460
33	246.7	27	35631	17557	4320	3978	1832	1055	742	459
34	249.2	27	35876	17073	4244	3757	1721	1025	777	501
35	251.9	27	35729	17129	4215	3835	1829	1070	754	446
36	254.5	27	35672	17523	4226	3699	1750	1102	803	422
37	257.1	27.1	34836	16506	4206	3632	1703	1064	813	464
38	259.7	27.1	35576	16827	4079	3528	1639	1070	790	458
39	262.3	27.1	35801	16507	4122	3401	1591	1043	761	437
40	264.9	27.1	35076	16254	4085	3483	1610	1064	769	468
41	267.5	27	35218	16212	4077	3394	1532	1030	772	441
42	270.1	27	34874	15673	4042	3415	1493	1071	751	467
43	272.7	27.1	34462	15765	4074	3410	1476	1045	800	493
44	423	27	13394	2787	764	473	251	395	404	240
45	425.6	27	11614	2570	666	493	255	446	395	237
46	428.2	27	10651	2359	636	435	220	400	410	231
