Cycle	Time	Temp	A6	B6	C6	D6	E6	F6	G6	H6
1	0	26.1	42372	29075	22265	18120	16301	15785	16218	15750
2	22.6	26.1	42261	29563	22064	18344	16633	16069	16247	15191
3	45.2	26.2	42046	29478	22249	18245	17458	15814	16011	15618
4	67.9	26.2	41984	29217	22345	18810	16646	16205	16119	15996
5	205.8	26.3	19698	16762	15350	15143	14353	15027	15548	15053
6	228.5	26.4	17683	15832	15702	14919	14324	15055	14897	14902
7	251.1	26.4	18339	16317	15405	14853	14771	14828	15410	15082
8	273.7	26.3	17923	16186	15350	14730	14810	14596	15356	15451
9	296.3	26.5	17674	15947	15539	14637	14527	14628	15315	15045
10	318.9	26.4	18030	15474	15379	14843	14227	14939	14885	15030
11	341.6	26.5	17934	15888	15306	14783	14197	14684	14964	15011
12	364.2	26.5	18051	16035	15453	14708	14588	14807	15039	15177
13	386.8	26.6	18768	15577	14885	14754	14144	14724	14922	14654
14	409.4	26.6	19279	15492	15207	14794	14713	14851	15010	15213
15	492.7	26.5	17958	12740	13613	13815	14338	14518	14851	14974
16	515.3	26.7	17299	12801	13300	13680	14310	14322	15290	14535
17	537.9	26.7	17127	12813	13382	13884	13865	14444	14725	14916
18	560.6	26.7	17275	12638	13396	13971	14253	14400	15064	15130
19	583.2	26.7	16797	12520	13294	14061	14190	14235	15215	14907
20	605.8	26.7	17489	12477	13477	13890	14008	14442	14779	14415
21	628.5	26.7	17107	12793	13459	13644	13733	14462	14916	14719
22	651.1	27	16961	12253	13615	14069	13701	14413	14826	14847
23	673.7	26.9	17274	12321	13236	13883	13748	14269	14898	14683
24	696.3	27	16827	12482	13293	13751	13712	14458	14794	14665
