Cycle Nr.	Time [s]	Temp. [°C]	A3	A4	B3	B4	C3	C4	D3	D4	E3	E4	F3	F4	G3	G4	H3	H4
1	0	26.6	0.6194999814	0.4384000003	0.4907999933	0.8461999893	0.5738999844	0.4898999929	0.7182999849	0.7518000007	0.7547000051	0.8640999794	0.7172999978	0.5482000113	0.5850999951	0.5839999914	0.7481999993	0.8968999982
2	40.5	26.7	0.6147000194	0.434799999	0.480399996	0.8234999776	0.5870000124	0.4731000066	0.7189000249	0.7508000135	0.752300024	0.8622999787	0.7159000039	0.5415999889	0.5888000131	0.5376999974	0.730799973	0.9021999836
3	81	26.5	0.6133000255	0.4366999865	0.4569999874	0.8090000153	0.5626999736	0.4828000069	0.712199986	0.7513999939	0.7483999729	0.8500000238	0.7163000107	0.5364999771	0.5868999958	0.5309000015	0.7282000184	0.9093999863
4	423.5	26.7	0.6503000259	0.4713999927	0.4445999861	0.8374999762	0.5220999718	0.4569000006	0.7197999954	0.7810999751	0.7261000276	0.8590000272	0.6600999832	0.4711999893	0.5142999887	0.5382000208	0.7609999776	0.9203000069
5	464	26.7	0.649600029	0.4700999856	0.4444999993	0.8355000019	0.5271999836	0.456099987	0.7214999795	0.7821999788	0.7335000038	0.8601999879	0.6567999721	0.4650000036	0.5446000099	0.5527999997	0.7601000071	0.9264000058
6	504.5	26.7	0.6431000233	0.4654999971	0.4390000105	0.8296999931	0.5447000265	0.4359999895	0.7172999978	0.7778999805	0.726000011	0.8521999717	0.6534000039	0.4593000114	0.5451999903	0.5386999846	0.7549999952	0.9132000208
7	545	26.9	0.6457999945	0.4677000046	0.4386999905	0.8291000128	0.5715000033	0.4553999901	0.715200007	0.7753000259	0.7279999852	0.8550000191	0.6514000297	0.4584000111	0.5425999761	0.5206000209	0.7537000179	0.9089999795
8	585.5	26.9	0.6498000026	0.4709999859	0.4456999898	0.8357999921	0.5433999896	0.4819999933	0.7245000005	0.7853000164	0.7318999767	0.8650000095	0.6590999961	0.4632000029	0.5357999802	0.5651000142	0.7628999949	0.926699996
9	692.4	26.9	0.643599987	0.4659000039	0.440200001	0.8277000189	0.5742999911	0.4736999869	0.7210999727	0.7766000032	0.7275999784	0.8561000228	0.6528999805	0.4553000033	0.5443000197	0.5766000152	0.7527999878	0.9126999974
10	732.9	26.9	0.6488000154	0.4715000093	0.4444999993	0.8327000141	0.5490999818	0.4797999859	0.7268999815	0.7815999985	0.7315999866	0.8600999713	0.6615999937	0.459100008	0.5490999818	0.5485000014	0.7563999891	0.9200000167
11	773.4	26.9	0.644200027	0.4677999914	0.4395000041	0.8285999894	0.5393000245	0.4794000089	0.7208999991	0.7799000144	0.7264999747	0.8572999835	0.6546000242	0.4535999894	0.540199995	0.5500000119	0.7538999915	0.9194999933
12	907	27	0.6506999731	0.4715000093	0.4447000027	0.8331999779	0.5411000252	0.4354000092	0.7233999968	0.7835999727	0.7311000228	0.8633999825	0.6592000127	0.4569000006	0.4984999895	0.5291000009	0.7563999891	0.921299994
13	947.5	27.1	0.6446999907	0.4668000042	0.4375	0.8264999986	0.5500000119	0.4629000127	0.7148000002	0.7771999836	0.7246000171	0.8561000228	0.652700007	0.4501000047	0.5382999778	0.5231999755	0.7502999902	0.9100999832
14	988	27.3	0.6445000172	0.4659000039	0.4386000037	0.8273000121	0.5508999825	0.4149999917	0.7156000137	0.7795000076	0.7251999974	0.8546000123	0.6542999744	0.4514000118	0.5672000051	0.5320000052	0.7534999847	0.9131000042
15	1028.5	27.4	0.6449999809	0.467200011	0.4395999908	0.8282999992	0.570200026	0.4925000072	0.7182999849	0.7796000242	0.725399971	0.8555999994	0.6547999978	0.4515999854	0.5580999851	0.543900013	0.7529000044	0.9161000252
16	1120.7	27.1	0.6459000111	0.4641000032	0.4395000041	0.8166000247	0.5421000123	0.4690000117	0.695900023	0.7687000036	0.7156000137	0.8723000288	0.643599987	0.4476999938	0.5105000138	0.5314000249	0.7412999868	0.896600008
17	1161.2	27.3	0.6470999718	0.4654000103	0.4395999908	0.8177000284	0.5375999808	0.4629999995	0.6991999745	0.7680000067	0.7177000046	0.8651999831	0.6437000036	0.4444999993	0.5565000176	0.5325000286	0.742299974	0.9042000175
18	1201.7	27.2	0.6474000216	0.4652999938	0.4408000112	0.820900023	0.5389999747	0.4605999887	0.6977000237	0.769200027	0.7186999917	0.8709999919	0.6434999704	0.4474999905	0.581099987	0.5419999957	0.7409999967	0.9049999714
