Cycle	Time	Temp	Pra0	ProFAr0	Pra25	ProFAr25	Pra50	ProFAr50	Pra75	ProFAr75	Pra100	ProFAr100	Pra0	ProFAr0	P25ra50	ProFAr50	Pra100	ProFAr100
1	0	26.5	891	26243	12661	22596	22492	21218	32639	19938	41872	18337	1073	26581	22946	22262	42158	19759
1	0	26.7	824	25720	12795	22131	22114	21075	32060	20037	41556	18243	1061	25586	22805	21647	41359	19887
2	40.5	26.6	830	26240	12830	21873	22291	21163	31954	20006	42792	18314	1043	25729	22840	21952	40961	19667
2	40.5	26.5	848	25598	12858	21715	22077	21244	32143	19787	40873	18228	1021	25676	22587	21667	41301	19654
3	81	26.6	864	26357	12614	22108	22519	21243	32382	20066	41690	18232	999	25327	22711	21925	40930	19600
3	81	26.6	851	25850	12337	21882	22378	21111	31645	20234	40761	18381	1044	25169	22219	21736	41050	19879
4	423.5	26.7	1031	24494	10920	18276	22410	20895	32161	19967	41918	18212	1168	23175	21978	21772	40922	20129
4	423.5	26.7	997	23815	10655	18017	22273	20209	31733	19476	40352	18078	1126	22312	21363	21322	40942	19220
5	464	26.6	1059	22804	10364	18165	21941	19311	32365	18761	40962	18033	1127	21222	21766	20841	41471	18948
5	464	26.7	1054	22964	10014	17883	21769	19189	31839	19123	41034	17937	1136	21081	21645	20175	41102	18495
6	504.5	26.6	1021	22739	9840	18218	21749	18485	31870	18721	41327	17818	1169	21156	21228	20303	41190	18963
6	504.5	26.7	1023	22434	9621	17852	21676	18061	31639	18713	40827	17640	1123	20263	21327	20176	40938	18752
7	545	26.9	1024	22548	9316	18127	21504	17635	32059	18212	40949	17825	1193	19940	21458	19391	41461	18353
7	545	26.7	1027	22390	9624	17929	21407	18006	31713	18488	40885	17448	1185	19474	20955	19495	41096	18428
8	585.5	26.7	1083	22040	9109	18170	21351	17224	31760	17917	40978	17492	1156	19540	20963	19377	40964	18141
8	585.5	26.9	1064	21708	9200	17960	21387	17240	31094	17923	40453	17237	1168	18816	21161	18914	40508	18062
9	692.3	26.9	1055	21031	8314	17720	21111	16083	30957	17372	40760	16684	1123	17924	20926	18289	40328	18055
9	692.3	27	1056	21014	8439	17745	20997	16263	30990	17486	39929	17019	1157	17600	20199	18268	39554	17988
10	732.8	27	1043	21554	8424	17882	21115	16192	30733	17306	40381	17067	1116	17442	20209	18295	40438	18019
10	732.8	26.9	1080	20939	8417	17516	20624	16203	30783	17094	39978	16836	1098	17731	20317	18102	39730	17820
11	773.4	27	1031	21312	8422	17481	20976	16133	30673	17376	39953	16883	1148	17651	20010	18370	40373	17569
