Cycle	Time	Temp	A10	A11	A12	B10	B11	B12	C10	C11	C12	D10	D11	D12	E10	E11	E12	F10	F11	F12	G10	G11	G12	H10	H11	H12
1	0	25.1	5296	6441	6006	11153	13659	8177	2715	2992	3740	25558	23948	20938	30515	27258	21211	48369	41696	30309	34995	34882	31594	32350	33365	28051
2	25.9	25.2	5920	6852	6408	12771	15783	8894	2752	2995	3940	28985	26064	22869	35163	31675	22802	53926	44829	32430	39205	36957	36559	35621	37017	29293
3	51.8	25.2	7154	7588	6831	14142	16933	9656	2545	3277	3845	31962	27842	46503	38075	34288	25056	56983	47049	34384	43320	40271	38859	38264	38858	31586
4	77.6	25.3	7235	7652	6779	17218	17917	10108	2843	3043	3884	33629	28908	25324	40844	36195	26380	58916	47100	34978	46074	41430	40800	41390	41516	32499
5	103.5	25.2	8274	8314	7357	15944	18694	10464	2689	2916	3699	34726	29514	40468	42903	36599	28046	58827	48225	36397	50096	42912	42707	43545	44030	34232
6	129.4	25.2	8722	8671	7356	19017	19027	10878	2655	2963	3705	36470	30680	26543	44398	38141	30081	59156	48992	37425	50610	44947	44216	46992	45547	35171
																										
7	155.3	25.2	9379	8901	7907	18774	19835	10885	2792	2864	3553	38392	31818	27737	45342	39038	32040	60198	50737	38575	51881	45878	44926	49338	46234	36905
8	181.2	25.2	9953	9540	8253	20382	19905	11661	2444	2874	3904	38279	32749	39515	46328	39737	32159	60172	50703	39077	51825	44802	44878	49902	45477	37231
9	207.1	25.3	10844	10119	8637	21203	20326	11188	2588	2988	3679	39529	33462	27903	46612	41717	33259	59744	50542	40219	52002	44365	44985	50354	46673	38485
10	232.9	25.1	11093	10338	8443	21119	19641	11626	2635	2916	4144	39614	34982	27276	46789	43486	34174	60190	52268	40617	54069	43411	45551	50684	45428	40657
11	258.8	25.3	11940	10517	9277	21653	19422	12127	2625	2859	3567	40215	35473	27218	46619	43833	33943	59982	51584	42360	54551	43001	44920	50462	46229	41938
12	284.7	25.3	12494	11170	9583	21667	20492	12998	2757	2923	3330	39637	36438	27319	46605	43322	34159	59969	52203	42562	55069	45287	45445	51129	48170	43098
13	310.6	25.3	12137	12489	10749	22146	21861	13288	2794	2982	3413	40135	37107	27798	47544	43353	33707	60423	51211	43519	56307	46140	45096	50356	50433	45398
