Cycle	Time	Temp	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11
1	0	27.4	5643	7021	7895	9200	11296	16782	29730	42234	5963	6687	7677	8906	11246	16561	28261	41282	5529	6508	7148	8781	10998	17326	26926	41447
2	4.1	27.5	5871	7194	7715	9147	11637	16983	29028	41446	5663	6627	7451	8989	11451	17292	27664	40405	5436	6426	7359	8631	11229	17158	27054	41837
3	8.3	27.4	5628	6929	7749	9306	11629	17445	29103	42317	5869	6643	7474	9165	11251	17099	28203	41000	5469	6451	7469	9028	10796	17973	26826	41845
4	12.4	27.5	5857	6772	7782	9173	11463	16876	28767	42096	5706	6419	7341	8708	11340	17347	27875	40301	5543	6560	7519	8554	11115	17466	27389	40604
5	16.5	27.4	5849	7053	7750	9033	11521	17170	29439	41818	5934	6562	7193	8822	11467	16773	27919	41201	5440	6314	7457	8715	11492	17032	26851	40263
6	20.6	27.4	5599	6792	7609	8907	11687	16682	28877	42573	5784	6782	7717	8817	11154	17056	28424	40757	5486	6276	7258	8495	11365	17565	27267	41088
7	24.8	27.4	5602	6928	7855	9384	11270	17371	28892	41679	5846	6562	7909	8895	11327	16854	28064	40320	5577	6572	7421	8594	11369	17179	27420	41294
8	28.9	27.5	5591	6725	7629	9038	11516	17128	28935	41682	5888	6496	7677	8854	11685	17263	28105	40593	5487	6374	7332	8606	11293	17652	27825	41926
9	33	27.5	5630	7008	7921	9334	11656	17226	29378	42138	5753	6603	7565	8702	11125	17191	27723	39743	5376	6318	7621	8984	11311	17161	27088	42265
10	37.1	27.5	5735	7247	7824	9348	11577	16727	28790	42563	5930	6650	7748	8896	11159	16749	28048	40890	5807	6480	7554	8695	11426	17663	27464	41114
11	41.2	27.4	5684	6942	7882	9164	11674	16797	28853	41751	6039	6789	7196	8936	11378	17169	28039	41510	5387	6340	7114	9232	11345	17347	27315	41972
12	45.4	27.5	5654	7041	8100	9128	11454	17340	29362	42570	5700	6470	7629	9169	11245	17375	27563	41040	5469	6245	7760	8923	11367	17423	27209	41348
13	49.5	27.5	5773	7005	7512	9468	11966	17115	29515	41468	5779	6635	7437	9073	11777	16850	27559	41135	5499	6740	7497	8996	10980	17626	27017	41486
14	104.7	27.4	5135	6046	7017	7614	9607	14756	25153	36876	5355	5346	6093	7439	8999	14700	24439	37380	5269	5729	6368	7596	9155	14773	24622	38883
15	108.8	27.4	5347	5533	6524	7251	8239	13758	23790	37069	5459	5276	6083	7367	8164	14229	23816	36636	5246	5578	5851	7350	8898	15002	23576	36859
16	112.9	27.5	4906	5507	6250	6608	8392	13399	23005	36125	5476	5273	5834	7066	8067	13450	23279	35411	5171	5598	6202	6764	8416	14452	22916	37338
17	117.1	27.4	4921	5269	6097	6630	7768	13596	23401	35418	5280	5304	5710	6620	7388	12804	22376	35130	4996	5230	5938	6594	7993	13908	22206	36291
18	121.2	27.4	5014	5288	6462	6687	7879	12886	22528	34728	5415	5126	5679	6407	7277	12307	21553	34938	5015	5259	5682	6619	7478	13633	21506	36505
19	125.3	27.4	5052	5288	6236	6499	7370	13100	21876	34727	5161	5313	5399	6178	7261	12091	21691	33907	5051	5225	5569	6219	7514	12857	21081	34769
20	129.5	27.4	5227	5345	5874	6213	7362	12341	21821	34628	5545	5054	5720	6216	6967	11810	21493	34544	5127	5109	5698	5899	7252	11848	20364	34028
21	133.6	27.4	5234	5155	5694	6141	7005	12377	21245	34495	5408	5527	5536	6007	6633	11386	20041	32758	5175	5215	5475	5710	6564	12199	19624	33332
22	137.7	27.4	4961	5182	5982	6412	7138	11818	20690	33352	5290	5104	5462	6103	6825	10812	19446	32790	4911	5093	5402	5636	6789	11580	18433	32278
23	141.8	27.4	5119	5235	5971	6187	6680	11511	20298	33149	5189	5231	5505	5970	6565	10859	19241	31974	5150	5032	5561	5818	6652	10890	17745	31705
24	146	27.4	4915	4810	5837	6133	6549	10996	19717	32766	5126	5085	5330	5922	6274	10432	18741	31500	5056	5022	5410	5759	6241	10876	17842	31097
25	150.1	27.4	5111	5094	5831	5926	6805	10987	19037	31237	5185	5156	5175	5499	5868	10226	18706	30082	4882	4880	5217	5609	6205	10238	17004	30838
26	154.2	27.5	5095	4995	5728	5838	6431	10645	18479	30648	5135	5240	5151	5590	6003	9616	17432	30128	5119	5118	5447	5393	5976	9618	16474	29661
27	158.4	27.4	4991	5057	5622	5852	6342	10071	18511	30649	5407	4991	5459	5620	5874	9533	17010	28624	4976	5129	5322	5517	6130	9614	15927	29391
28	162.5	27.5	5141	5099	5567	5984	6176	9686	18203	30556	5311	5007	5169	5624	5695	9138	16407	28845	4984	5000	5340	5421	5870	9087	14841	27948
29	166.6	27.2	5363	4961	5803	5496	6170	9610	17505	29751	5278	5020	5263	5442	5747	8887	16038	27795	5165	5207	5477	5470	5612	8507	14750	27942
30	170.7	27.4	4982	4978	5625	5656	5956	9581	16570	29176	5210	5199	5174	5570	5699	8706	15849	27050	5237	5068	5209	5278	5824	8309	14053	27710
31	174.9	27.5	5128	5000	5834	5720	6093	8923	16559	29029	5410	5286	5211	5652	5847	8352	15219	26482	4711	4988	5076	5172	5999	8342	13574	26223
32	179	27.5	5027	5147	5416	5682	5906	8862	15679	28716	5030	4979	5211	5416	5460	8104	14484	25671	5073	4926	5112	5149	5389	7650	12832	25904
33	183.1	27.4	4936	5025	5652	5789	5530	8394	15503	27827	5374	5033	5099	5216	5379	7706	14100	25334	5146	5025	4888	5134	5624	7429	12264	24431
34	187.3	27.4	5007	4823	5683	5599	5652	8241	14893	28059	5313	4961	5302	5261	5307	7602	13920	24430	4898	4806	5262	5172	5477	7173	11807	23662
35	191.4	27.4	5027	4988	5406	5599	5745	8095	14925	27118	5252	4998	4999	5178	5362	7053	13582	24037	4860	4947	5221	5094	5544	6995	11448	23419
36	195.5	27.4	5107	5147	5616	5515	5628	7831	13490	26947	5337	4931	5261	5321	5413	7206	12696	23584	4867	5023	5054	5224	5296	7244	11148	23330
37	199.6	27.4	4829	4948	5381	5200	5627	7554	13689	25795	5256	5141	5298	5350	5438	6896	12031	23805	4875	4930	5116	4942	5299	6717	10833	22470
38	203.8	27.5	4930	5120	5337	5275	5514	7387	13341	25666	5189	5057	5377	5135	5568	6556	12276	21833	5065	5144	5303	5109	5328	6555	10359	21489
