Cycle	Time	Temp	Scoe0	D11A0	Scoe1	D11A1	Scoe5	D11A5	Scoe10	D11A10	Scoe50	D11A50	Scoe100	D11A100	Scoe150	D11A150	Scoe200	D11A200
1	0	28	159	125	200	188	469	500	1258	842	11847	5855	23436	18824	33667	29499	42305	39888
2	3.2	28.3	189	115	210	173	449	474	1100	831	10763	6033	22483	17906	33350	28938	41302	40427
3	6.4	28.2	167	108	204	193	441	464	1056	825	10800	5623	22536	18491	32580	28892	40727	39758
4	9.6	28.2	159	115	214	173	425	471	1000	816	10607	5710	22317	18342	32968	28592	40424	40013
5	12.9	28.2	156	113	190	193	437	435	990	737	10450	5774	22052	16994	32842	28551	40640	39488
6	16.1	28	153	115	202	196	418	449	957	763	10599	5661	21912	18502	32254	28581	40052	39778
7	19.3	28.2	152	130	198	202	384	448	914	721	10092	5713	21897	16899	32865	28605	39647	39147
8	22.5	28.2	137	117	186	203	393	436	885	703	10480	5573	21558	18039	32704	28675	39449	39430
9	25.7	28	150	124	186	179	372	418	891	643	9822	5498	21288	17916	32241	28455	39400	38465
10	28.9	28.2	145	131	183	211	368	415	819	668	10210	5457	21437	17849	32178	28399	39070	39006
11	32.2	28	152	106	193	190	350	442	789	641	10409	5330	21345	16271	32484	28951	39220	38434
12	35.4	28.2	159	121	193	176	368	422	769	616	9626	5219	21030	17682	31086	28198	39121	39103
13	38.6	28.2	158	132	192	186	341	452	703	621	9899	5184	20804	17292	32205	28733	38627	38691
14	41.8	28.2	142	132	191	190	381	428	719	647	9469	5061	20595	17009	32333	28762	38712	38698
15	45	28	147	132	184	203	349	449	707	613	9790	5136	20879	16831	31718	28618	38489	37910
16	48.2	28.2	151	110	193	193	362	416	689	577	9050	4926	20754	17053	32246	28505	37890	38687
17	51.5	28.2	146	115	185	175	363	461	658	639	9555	4846	20453	17159	31980	28436	38489	38640
18	54.7	28.3	151	129	190	202	374	439	626	633	9057	4799	20642	16722	31676	28380	38400	38698
19	57.9	28.2	152	112	181	186	351	440	664	628	9253	4646	19865	16725	31317	28071	37788	37842
20	61.1	28.2	166	120	188	195	362	440	609	589	9577	4778	20741	15800	30714	27993	37792	38717
21	64.3	28.2	144	132	194	189	367	456	617	620	8592	4665	20017	16343	31231	28415	37080	37228
22	67.5	28.2	145	128	193	202	373	464	624	631	8486	4507	20299	15069	31573	28211	37475	38015
23	70.7	28.3	149	129	187	199	354	412	614	606	8804	4676	19907	16235	31239	28480	38193	36057
24	74	28.2	156	123	184	197	368	428	635	626	8682	4621	19638	16328	31146	27783	36886	38201
25	77.2	28.3	159	135	195	195	357	440	581	635	8313	4697	19939	15847	31079	27706	37255	37760
26	80.4	28.2	160	120	188	180	369	451	622	628	8575	4555	19797	16150	30665	27730	36537	37656
27	83.6	28.3	156	135	178	199	345	448	630	595	7963	4439	19158	16398	30829	27934	36504	37882
28	86.8	28.2	148	127	197	193	358	449	587	627	8421	4396	19407	15398	30802	28296	36781	38177
29	90	28.3	145	138	197	199	376	446	570	615	7746	4536	19364	16298	30634	27867	36089	38119
30	93.3	28.1	149	126	196	193	347	446	595	618	7638	4465	19474	15924	30067	28036	36165	38182
31	96.5	28.3	147	125	199	182	347	457	624	604	8099	4492	19006	16205	29925	28075	36490	37411
32	99.7	28.2	154	122	191	198	368	479	612	632	7476	4334	19052	16124	30609	28005	35802	37730
33	102.9	28.3	135	128	198	213	342	446	596	635	7333	4433	18980	15961	30266	27931	35786	37747
34	106.2	28.3	146	140	183	192	353	445	605	616	7177	4271	18781	15946	30138	27364	35686	38001
35	109.4	28.2	149	127	197	193	325	432	597	603	7051	4264	18748	16139	30340	27674	35633	37997
36	112.6	28.2	145	132	187	202	359	417	624	575	7068	4228	18902	15975	30303	27354	35564	38113
37	115.8	28.2	143	131	186	191	356	416	592	640	7100	4396	18766	15958	29406	27961	35129	37473
38	119	28.2	136	121	197	199	348	422	597	608	7270	4334	18631	15831	28777	27443	35414	37753
39	122.3	28.3	146	134	182	197	332	426	605	616	7340	4431	18682	14952	29512	27734	35534	37441
40	125.5	28.2	153	121	184	193	352	432	595	619	6954	4164	18355	15955	29078	27477	35296	37651
41	128.7	28.3	155	114	184	199	364	423	601	600	6321	4278	18561	15947	29149	27705	35068	37318
42	131.9	28.2	150	131	193	195	332	429	579	632	6939	4285	18163	15259	28592	27689	35252	37720
43	135.1	28.3	142	126	194	210	371	428	615	587	6316	4219	18110	15983	29054	27702	35200	37736
44	138.3	28.3	140	121	177	197	339	440	579	613	6731	4288	18210	15111	28600	27581	34763	38247
45	141.5	28.3	154	111	186	204	374	429	587	614	6118	4285	18387	15927	28952	27640	34776	37508
46	144.8	28.3	141	117	175	194	331	432	613	602	6000	4436	18110	16121	28418	27606	34953	37358
47	148	28.2	131	125	187	193	358	415	606	584	6487	4390	18255	16061	28316	27491	34740	37717
48	151.2	28.2	167	127	186	205	356	430	606	637	6392	4328	18018	14907	28482	27683	34506	37499
49	154.4	28.3	153	126	196	200	356	418	582	602	5983	4395	17750	15932	27696	27801	34489	37770
50	157.6	28.3	158	121	172	190	362	428	596	610	6224	4451	17599	15230	28065	27854	35009	37080
51	160.8	28.2	146	117	202	197	360	437	593	608	5753	4382	17853	16048	27971	27641	34436	38098
52	164	28.3	150	121	174	173	348	460	587	604	5543	4416	17931	16099	28613	27678	34659	37522
53	167.3	28.2	140	124	174	190	326	429	598	604	5904	4395	17496	15165	27996	27907	34704	37019
54	170.5	28.2	135	128	201	195	323	444	617	586	5657	4509	17595	15738	28073	27859	34697	37889
55	173.7	28.2	153	129	197	197	332	433	585	607	5441	4603	17369	16466	27761	27860	34622	37417
56	176.9	28.3	146	119	184	201	371	410	593	599	5781	4594	17327	16053	26592	27924	35098	37647
57	180.1	28.3	164	122	186	196	339	439	604	615	5356	4629	17480	16420	27601	27951	34470	37083
58	183.3	28.2	147	131	194	200	351	445	577	583	5645	4628	17241	15716	27910	27944	34605	38108
59	186.5	28.2	147	132	189	208	332	424	557	588	5244	4556	17556	16044	28098	27848	34773	37862
60	189.8	28.2	142	123	195	206	336	441	605	577	5267	4663	17176	16224	27639	28163	34479	37601
61	193	28.3	152	120	189	195	348	421	600	604	5505	4784	16808	16289	28277	28133	35057	38383
62	196.2	28.2	141	125	183	190	328	434	599	582	5456	4767	16756	15523	28072	28501	34844	38941
63	283.6	28.3	156	175	195	262	189	509	465	577	4368	6864	16465	19755	28561	30445	36524	41790
64	286.8	28.2	156	171	187	254	195	510	463	604	4540	6709	16617	19630	28516	31253	36253	42304
65	290	28.3	147	164	182	244	183	495	466	592	4557	6847	16501	19898	27857	31227	35921	41767
66	293.3	28.2	152	157	176	260	192	489	486	593	4779	7075	16681	18366	27207	31225	36021	43419
67	296.5	28.2	163	184	165	247	173	485	465	631	4716	7128	16538	18301	28791	31350	35739	42531
68	299.7	28.2	150	170	182	250	185	476	485	587	4553	7174	16605	20253	28319	31968	36085	42510
69	302.9	28.2	166	166	178	251	166	459	445	548	4881	7064	16332	18489	28339	31916	36109	41824
70	306.1	28.3	155	160	176	248	166	504	455	533	4393	7129	16546	19995	28885	31431	35572	42502
71	309.3	28.2	144	182	171	257	167	489	453	596	4670	7308	16682	20132	28656	32781	35888	42195
72	312.5	28.3	154	168	167	258	160	492	446	580	4716	7217	16732	20489	28692	31849	36286	42507
73	315.8	28.2	149	176	176	251	157	493	449	575	4744	7079	16390	18449	28845	32325	36550	41412
74	319	28.3	140	175	168	268	156	486	443	594	4469	7334	16686	20380	28947	32410	36688	42319
75	322.2	28.2	154	177	173	232	163	499	434	596	4279	7320	16409	18670	29318	31885	36314	41485
76	325.4	28.4	156	178	166	259	176	489	417	603	4360	7423	16657	20268	29058	32153	35910	41808
77	328.6	28.3	157	171	179	250	163	501	420	577	4370	7370	16289	18743	28929	32326	36348	42294
