Cycle	Time	Temp	Scoe0	Scoe1	Scoe5	Scoe10	Scoe15	Scoe20	Scoe50	Scoe100
1	0	28.3	656	592	1364	1850	2389	2895	20006	41294
2	2.4	28.3	643	608	1341	1871	2340	2934	20007	40970
3	4.8	28.2	640	618	1344	1793	2420	2837	20009	42271
4	7.3	28.2	660	609	1301	1791	2386	2970	20214	41804
5	9.7	28.2	658	612	1390	1861	2400	2854	19896	41157
6	12.1	28.2	646	606	1354	1808	2369	2849	20290	41825
7	14.5	28.3	650	630	1384	1797	2413	2924	20585	41411
8	17	28.3	681	625	1352	1804	2413	2872	20742	43398
9	19.4	28.3	688	605	1321	1818	2386	2953	20794	41973
10	21.8	28.3	665	635	1394	1785	2434	2868	20400	43582
11	24.3	28.3	635	612	1349	1860	2440	2845	20590	42714
12	26.7	28.3	663	602	1357	1878	2329	2963	20941	42078
13	29.2	28.3	641	597	1367	1833	2394	2848	21198	42304
14	31.6	28.3	653	619	1422	1919	2465	2930	20676	41749
15	34	28.3	655	620	1346	1875	2450	2884	20924	42426
16	114.4	28.2	693	605	996	1492	1866	2176	20857	44185
17	116.8	28.2	657	615	1003	1562	1843	2150	21242	43610
18	119.2	28.2	656	622	929	1578	1825	2163	21081	44228
19	121.7	28.2	664	623	962	1513	1820	2152	21336	43856
20	133	28.2	619	615	1021	1507	1840	2070	20783	43976
21	135.4	28.2	684	604	896	1495	1772	2083	21487	43421
22	137.9	28.3	643	601	923	1548	1734	2182	21196	43637
23	140.3	28.3	636	620	931	1462	1644	2117	21635	43794
24	142.7	28.4	683	641	983	1517	1737	2170	21484	44073
25	145.1	28.4	627	608	908	1502	1674	2089	21674	44106
26	147.5	28.3	635	609	919	1510	1668	2184	21548	44177
27	150	28.3	649	567	881	1534	1717	2100	21289	43544
28	152.4	28.3	640	571	891	1495	1740	2063	21512	43844
29	154.8	28.3	610	545	841	1475	1658	1969	21583	43567
30	157.2	28.2	611	600	887	1467	1740	2010	21448	43939
31	159.6	28.2	614	559	850	1498	1625	2015	21406	43048
32	162.1	28.3	592	583	797	1468	1609	1933	21638	44671
33	164.5	28.3	602	589	808	1422	1703	1936	21442	44255
34	166.9	28.3	618	611	813	1428	1640	1976	21238	43579
35	169.3	28.3	616	601	841	1451	1649	1915	21456	43074
36	171.8	28.2	604	598	841	1444	1646	1796	21255	43813
37	174.2	28.2	594	581	810	1363	1632	1806	21185	43716
38	176.6	28.3	601	571	764	1383	1569	1724	21339	44425
39	179	28.3	599	567	800	1406	1534	1727	21777	45042
40	181.4	28.3	621	581	766	1390	1536	1743	21696	43670
41	183.8	28.3	614	557	749	1400	1510	1765	21371	44193
42	186.2	28.4	565	567	776	1425	1446	1656	22121	44776
43	188.7	28.4	574	569	672	1361	1444	1605	21443	44937
44	191.1	28.3	588	572	768	1279	1525	1663	21443	44074
45	193.5	28.3	594	570	768	1343	1415	1609	21726	44792
46	195.9	28.3	561	540	743	1312	1489	1595	21400	43752
47	198.3	28.3	609	547	720	1302	1457	1536	21400	44097
48	200.7	28.4	551	543	696	1244	1422	1476	21248	45583
49	203.2	28.4	594	550	681	1289	1417	1461	21152	43486
50	205.6	28.3	560	559	680	1290	1410	1475	21653	44204
51	208	28.3	601	530	706	1267	1435	1438	21637	43971
52	210.4	28.3	607	507	668	1177	1393	1455	21586	44827
53	212.8	28.3	542	555	684	1216	1316	1468	21650	43796
54	215.2	28.4	565	558	686	1125	1314	1386	21303	43893
55	217.7	28.4	568	514	654	1179	1338	1347	21848	43827
56	220.1	28.3	590	534	605	1160	1276	1366	21273	44717
57	222.5	28.3	557	545	637	1162	1235	1261	21436	44348
58	224.9	28.3	558	562	691	1121	1303	1171	21164	44296
59	227.3	28.3	600	528	640	1108	1224	1195	21514	43642
60	229.7	28.3	588	569	671	1090	1199	1114	21398	44054
61	232.2	28.3	564	551	585	1050	1212	1083	21628	44466
62	234.6	28.4	582	540	628	1055	1191	1066	21146	43803
63	237	28.4	561	533	631	1018	1125	1054	21357	43904
64	239.4	28.3	575	559	626	1023	1112	1016	21443	44640
65	241.8	28.3	562	521	610	1007	1124	986	21475	44460
66	244.3	28.3	592	547	600	969	1132	914	21843	44220
67	246.7	28.3	585	563	595	958	1072	906	21862	43744
68	249.1	28.4	592	538	566	893	1032	907	21289	43364
69	251.5	28.4	571	553	572	879	973	826	21277	43824
70	253.9	28.3	551	525	631	871	1023	815	21413	43741
71	256.3	28.3	519	556	656	834	981	770	21248	43938
72	258.8	28.3	548	521	585	862	957	783	21479	43401
73	261.2	28.3	561	558	603	841	924	747	21534	43938
74	263.6	28.4	533	529	612	764	928	749	21684	44218
75	266	28.4	566	531	592	791	917	700	21242	44246
76	268.4	28.3	572	555	613	756	922	719	21490	44543
77	270.8	28.3	563	542	573	776	833	672	21662	44350
