Enzyme	BGC	Function	Order
Enzyme_74	actinorhodin	hydroxylacyl-CoA dehydrogenase	74
Enzyme_75	actinorhodin	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	75
Enzyme_76	actinorhodin	FIG01127617: hypothetical protein	76
Enzyme_77	actinorhodin	hypothetical protein	77
Enzyme_78	actinorhodin	Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase	78
Enzyme_79	actinorhodin	putative integral membrane protein	79
Enzyme_80	actinorhodin	hypothetical protein	80
Enzyme_81	actinorhodin	FIG01121294: hypothetical protein	81
Enzyme_82	actinorhodin	FIG01124094: hypothetical protein	82
Enzyme_83	actinorhodin	Acyl-CoA dehydrogenase	83
Enzyme_84	actinorhodin	FIG01134414: hypothetical protein	84
Enzyme_85	actinorhodin	Transcriptional regulator, TetR family	85
Enzyme_86	actinorhodin	FIG01129015: hypothetical protein	86
Enzyme_87	actinorhodin	Hopanoid-associated RND transporter, HpnN	87
Enzyme_88	actinorhodin	actinorhodin cluster activator protein	88
Enzyme_89	actinorhodin	Short-chain dehydrogenase/reductase SDR	89
Enzyme_90	actinorhodin	Polyketide beta-ketoacyl synthase WhiE-KS paralog	90
Enzyme_91	actinorhodin	Polyketide chain length factor WhiE-CLF paralog	91
Enzyme_92	actinorhodin	Acyl carrier protein	92
Enzyme_93	actinorhodin	actinorhodin polyketide synthase bifunctional cyclase/dehydratase	93
Enzyme_94	actinorhodin	putative polyketide cyclase	94
Enzyme_95	actinorhodin	NADH-FMN oxidoreductase	95
Enzyme_96	albaflavenone	FIG00456465: hypothetical protein	96
Enzyme_97	albaflavenone	putative cytochrome P450	97
Enzyme_23	calcium-dependent_antibiotic	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	23
Enzyme_24	calcium-dependent_antibiotic	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	24
Enzyme_25	calcium-dependent_antibiotic	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	25
Enzyme_26	calcium-dependent_antibiotic	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	26
Enzyme_27	calcium-dependent_antibiotic	Anthranilate synthase, aminase component (EC 4.1.3.27)	27
