Enzyme	BGC	Function	Order	Type
Enzyme_74	actinorhodin	hydroxylacyl-CoA dehydrogenase	74	Secondary
Enzyme_75	actinorhodin	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	75	Secondary
Enzyme_76	actinorhodin	FIG01127617: hypothetical protein	76	Secondary
Enzyme_77	actinorhodin	hypothetical protein	77	Secondary
Enzyme_78	actinorhodin	Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase	78	Secondary
Enzyme_79	actinorhodin	putative integral membrane protein	79	Secondary
Enzyme_80	actinorhodin	hypothetical protein	80	Secondary
Enzyme_81	actinorhodin	FIG01121294: hypothetical protein	81	Secondary
Enzyme_82	actinorhodin	FIG01124094: hypothetical protein	82	Secondary
Enzyme_83	actinorhodin	Acyl-CoA dehydrogenase	83	Secondary
Enzyme_84	actinorhodin	FIG01134414: hypothetical protein	84	Secondary
Enzyme_85	actinorhodin	Transcriptional regulator, TetR family	85	Secondary
Enzyme_86	actinorhodin	FIG01129015: hypothetical protein	86	Secondary
Enzyme_87	actinorhodin	Hopanoid-associated RND transporter, HpnN	87	Secondary
Enzyme_88	actinorhodin	actinorhodin cluster activator protein	88	Secondary
Enzyme_89	actinorhodin	Short-chain dehydrogenase/reductase SDR	89	Secondary
Enzyme_90	actinorhodin	Polyketide beta-ketoacyl synthase WhiE-KS paralog	90	Secondary
Enzyme_91	actinorhodin	Polyketide chain length factor WhiE-CLF paralog	91	Secondary
Enzyme_92	actinorhodin	Acyl carrier protein	92	Secondary
Enzyme_93	actinorhodin	actinorhodin polyketide synthase bifunctional cyclase/dehydratase	93	Secondary
Enzyme_94	actinorhodin	putative polyketide cyclase	94	Secondary
Enzyme_95	actinorhodin	NADH-FMN oxidoreductase	95	Secondary
Enzyme_96	albaflavenone	FIG00456465: hypothetical protein	96	Secondary
Enzyme_97	albaflavenone	putative cytochrome P450	97	Secondary
Enzyme_23	calcium-dependent_antibiotic	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	23	Secondary
Enzyme_24	calcium-dependent_antibiotic	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	24	Secondary
Enzyme_25	calcium-dependent_antibiotic	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	25	Secondary
Enzyme_26	calcium-dependent_antibiotic	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	26	Secondary
Enzyme_27	calcium-dependent_antibiotic	Anthranilate synthase, aminase component (EC 4.1.3.27)	27	Secondary
Enzyme_28	calcium-dependent_antibiotic	hypothetical protein	28	Secondary
Enzyme_29	calcium-dependent_antibiotic	Cation-transporting ATPase, E1-E2 family	29	Secondary
Enzyme_30	calcium-dependent_antibiotic	FIG01132787: hypothetical protein	30	Secondary
Enzyme_31	calcium-dependent_antibiotic	Polymyxin synthetase PmxB	31	Secondary
Enzyme_32	calcium-dependent_antibiotic	putative lipase (putative secreted protein)	32	Secondary
Enzyme_33	calcium-dependent_antibiotic	putative secreted protein	33	Secondary
Enzyme_34	calcium-dependent_antibiotic	Arogenate dehydrogenase (EC 1.3.1.43)	34	Secondary
Enzyme_35	calcium-dependent_antibiotic	secreted protein	35	Secondary
Enzyme_36	calcium-dependent_antibiotic	Thiamin ABC transporter, transmembrane component	36	Secondary
Enzyme_37	calcium-dependent_antibiotic	putative ABC transporter ATP-binding protein	37	Secondary
Enzyme_38	calcium-dependent_antibiotic	two component sensor kinase	38	Secondary
Enzyme_39	calcium-dependent_antibiotic	DNA-binding response regulator, LuxR family	39	Secondary
Enzyme_40	calcium-dependent_antibiotic	putative aminotransferase	40	Secondary
Enzyme_41	calcium-dependent_antibiotic	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	41	Secondary
Enzyme_42	calcium-dependent_antibiotic	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	42	Secondary
Enzyme_43	calcium-dependent_antibiotic	Siderophore biosynthesis non-ribosomal peptide synthetase modules @ Bacillibactin synthetase component F (EC 2.7.7.-)	43	Secondary
Enzyme_44	calcium-dependent_antibiotic	Siderophore biosynthesis non-ribosomal peptide synthetase modules @ Bacillibactin synthetase component F (EC 2.7.7.-)	44	Secondary
Enzyme_45	calcium-dependent_antibiotic	Siderophore biosynthesis non-ribosomal peptide synthetase modules @ Bacillibactin synthetase component F (EC 2.7.7.-)	45	Secondary
Enzyme_46	calcium-dependent_antibiotic	Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)	46	Secondary
Enzyme_47	calcium-dependent_antibiotic	phosphotransferase	47	Secondary
Enzyme_48	calcium-dependent_antibiotic	ABC transporter, NBP/MSD fusion protein	48	Secondary
Enzyme_49	calcium-dependent_antibiotic	putative oxygenase (putative secreted protein)	49	Secondary
