Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
CENTRALR5P_AMINOACIDS_phosphoribosyl_isomerase_A_1	Seed Enzyme	Orange	circle	216817	Function	1
6666666_138932_1855	Central metabolism	Red	circle	Pseudomonas syringae pv. Theae ncppb 2598 ATDJ01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_135144_5148	Central metabolism	Red	circle	Pseudomonas syringae pv. Actinidiae icmp 18884 AOKO01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_102109_1307	Central metabolism	Red	circle	Pseudomonas syringae pv. actinidiae ICMP 18884 NZ_CM002751.1	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_136449_5032	Central metabolism	Red	circle	Pseudomonas avellanae crafrued2 AYRI01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	1
6666666_136808_3814	Central metabolism	Red	circle	Pseudomonas avellanae JYHC01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	1
6666666_138930_362	Central metabolism	Red	circle	Pseudomonas avellanae bpic 631 ATDK01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	1
6666666_136328_2276	Central metabolism	Red	circle	Pseudomonas syringae pv. Viburni JYHK01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_134933_1735	Central metabolism	Red	circle	Pseudomonas syringae pv. Maculicola JYHH01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_102136_5429	Central metabolism	Red	circle	Pseudomonas syringae pv. tomato str. DC3000 NC_004578.1	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	1
6666666_136840_2208	Central metabolism	Red	circle	Pseudomonas syringae pv. Persicae LAZV01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	1
6666666_134879_857	Central metabolism	Red	circle	Pseudomonas syringae pv. Tomato JRRA01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_137752_760	Central metabolism	Red	circle	Pseudomonas coronafaciens JSED01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	1
6666666_136754_1330	Central metabolism	Red	circle	Pseudomonas meliae JYHE01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_135453_3201	Central metabolism	Red	circle	Pseudomonas savastanoi pv. Savastanoi JYHF01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_135434_307	Central metabolism	Red	circle	Pseudomonas amygdali JYHB01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
6666666_135140_193	Central metabolism	Red	circle	Pseudomonas amygdali pv. Tabaci str. Atcc 11528 LCWS01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
