Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
CENTRALE4P_AMINO_ACIDS_phosphoribosylanthranilate_isomerase_1	Seed Enzyme	Orange	circle	391213	Function	1
6666666_212444_989	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Cyanothece sp. ATCC 51142 CP000806.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212222_2620	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Cyanothece sp ATCC 51472 ATCC 51472 AGJC02	putative_immediate_early_protein	1
6666666_212138_4962	Central metabolism	Red	circle	Cyanothece sp CCY0110 CCY0110 AAXW01	Flavodoxin	1
6666666_212288_4460	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Crocosphaera watsonii WH 8501 WH 8501 AADV02	FIG00563686_hypothetical_protein	1
6666666_212099_726	Central metabolism	Red	circle	Crocosphaera watsonii WH 0401 WH 0401 CAQM01	HicB_protein	1
6666666_212212_4701	Central metabolism	Red	circle	Crocosphaera watsonii WH 0005 WH 0005 CAQL01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212238_822	Central metabolism	Red	circle	Crocosphaera watsonii WH 8502 WH 8502 CAQK01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212279_4000	Central metabolism	Red	circle	Crocosphaera watsonii WH 0003 WH 0003 AESD01	ATP_dependent_Clp_protease_ATP_binding_subunit_ClpA	1
6666666_212226_5498	Central metabolism	Red	circle	Crocosphaera watsonii WH 0402 WH 0402 CAQN01	tRNA_Ala_CGC	1
6666666_212442_552	Central metabolism	Red	circle	Cyanothece sp. PCC 7425 CP001344.1	Beta_lactamase__EC_3.5.2.6_	1
6666666_212418_3486	Central metabolism	Red	circle	Dactylococcopsis salina PCC 8305 CP003944.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212428_1618	Central metabolism	Red	circle	Halothece sp. PCC 7418 CP003945.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212074_4212	Central metabolism	Red	circle	Synechococcus sp PCC 7335 PCC 7335 ABRV01	hypothetical_protein	1
6666666_212055_2790	Central metabolism	Red	circle	Phormidesmis priestleyi Ana LJZR01	hypothetical_protein	1
6666666_212315_1524	Central metabolism	Red	circle	Oscillatoriales cyanobacterium MTP1 MTP1 LNAA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212071_4669	Central metabolism	Red	circle	Planktothrix mougeotii NIVA_CYA 405 NIVA_CYA 405 AVFU01	Replicative_DNA_helicase__EC_3.6.1.___	1
6666666_212088_4719	Central metabolism	Red	circle	Planktothrix prolifica NIVA_CYA 540 NIVA_CYA 540 AVFX01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212263_2507	Central metabolism	Red	circle	Planktothrix rubescens NIVA_CYA 407 NIVA_CYA 407 AVFW01	nitrogen_regulatory_protein_P_II	1
6666666_212113_3416	Central metabolism	Red	circle	Planktothrix prolifica NIVA_CYA 406 NIVA_CYA 406 AVFV01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212273_3027	Central metabolism	Red	circle	Planktothrix agardhii NIVA_CYA 56/3 NIVA_CYA 56/3 AVFY01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212328_399	Central metabolism	Red	circle	Planktothrix agardhii NIVA_CYA 34 NIVA_CYA 34 AVFT01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_212416_4565	Central metabolism	Red	circle	Planktothrix agardhii NIVA-CYA 126/8 CM002803.1	hypothetical_protein	1
6666666_212118_2164	Central metabolism	Red	circle	Planktothrix prolifica NIVA_CYA 98 NIVA_CYA 98 AVFZ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
