Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
CENTRALE4P_AMINO_ACIDS_phosphoribosylanthranilate_isomerase_1	Seed Enzyme	Orange	circle	390660	Function	1
6666666_211909_1664	Central metabolism	Red	circle	Natronomonas pharaonis DSM 2160 Gabara CR936257.1	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_210088_1126	Central metabolism	Red	circle	Halarchaeum acidiphilum MH1-52-1JCM 16109 BATA01	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_211935_1695	Central metabolism	Red	circle	Halanaeroarchaeum sulfurireducens HSR2 CP008874.1	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_211924_1692	Central metabolism	Red	circle	Halanaeroarchaeum sulfurireducens M27-SA2 CP011564.1	Thermostable_carboxypeptidase_1_EC_3.4.17.19_	1
6666666_211928_2208	Central metabolism	Red	circle	Halobacterium sp DL1 DL1 CP007060.1	3_oxoacyl_acyl_carrier_protein_reductase_EC_1.1.1.100_	1
6666666_211916_1869	Central metabolism	Red	circle	Halobacterium hubeiense JI20-1 LN831302.1	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_209930_2279	Central metabolism	Red	circle	Halobacterium sp CBA1132CBA1132 BCMZ01	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_210519_411	Central metabolism	Red	circle	Halolamina sediminishalo7 CVUA01	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_210196_1308	Central metabolism	Red	circle	Halolamina pelagicaCDK2 LGUC01	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_209998_2406	Central metabolism	Red	circle	Halolamina rubraCBA1107 BBJN01	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
6666666_210673_2293	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Uncultured archaeon A07HB70 AYLJ01	Molybdopterin_biosynthesis_protein_MoeA__Periplasmic_molybdate_binding_domain	1
6666666_212753_1397	Central metabolism	Red	circle	Halophilic archaeon DL31 DL31 CP002988.1	Phosphoribosylanthranilate_isomerase_EC_5.3.1.24_	1
