Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
CENTRALR5P_AMINOACIDS_phosphoribosyl_isomerase_A_1	Seed Enzyme	Orange	circle	390224	Function	1
6666666_211599_263	Central metabolism	Red	circle	Methanosarcina acetivorans C2A C2A AE010299.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	1
6666666_211631_1724	Central metabolism	Red	circle	Methanosarcina mazei Go1 Go1 AE008384.1	predicted_protein	2
6666666_210096_2470	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.2.6 JJQN01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210542_733	Central metabolism	Red	circle	Methanosarcina mazei2.F.T.2.6 JJOU01	coenzyme_F420_reducing_hydrogenase_beta_subunit_homolog	2
6666666_211638_3584	Central metabolism	Red	circle	Methanosarcina mazei SarPi SarPi CP009511.1	tRNA_Leu_CAA	2
6666666_210097_1079	Central metabolism	Red	circle	Methanosarcina soligelidiSMA-21 JQLR01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211695_3721	Central metabolism	Red	circle	Methanosarcina mazei S-6 S-6 CP009512.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210192_1776	Central metabolism	Red	circle	Methanosarcina mazei3.H.M.1B.1 JJPU01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210039_2886	Central metabolism	Red	circle	Methanosarcina mazei1.H.A.2.7 JJQO01	predicted_protein	2
6666666_209965_879	Central metabolism	Red	circle	Methanosarcina mazei1.F.A.1B.4 JJQC01	SSU_ribosomal_protein_S23e_S12p_	2
6666666_210020_1213	Central metabolism	Red	circle	Methanosarcina mazei3.H.T.1A.1 JJPY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_211665_3661	Central metabolism	Red	circle	Methanosarcina mazei WWM610 WWM610 CP009509.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16_	2
6666666_210203_1006	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.2.3 JJQW01	Ferredoxin	2
6666666_209928_3784	Central metabolism	Red	circle	Methanosarcina mazei1.H.M.1A.1 JJQR01	Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16	2
