Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
CENTRALE4P_AMINO_ACIDS_phosphoribosylanthranilate_isomerase_1	Seed Enzyme	Orange	circle	seed	Function	1
BGC0001778_KKZ73235	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001778_KKZ73235	Natural Products	1
6666666_104605_591	Central metabolism	Red	circle	Brevibacterium massiliense 5401308 CAJD01	alpha_beta_hydrolase_fold	2
6666666_104491_985	Central metabolism	Red	circle	Arthrobacter albus DNF00011 JRNH01	Prolipoprotein_diacylglyceryl_transferase__EC_2.4.99.__	2
6666666_111532_2145	Central metabolism	Red	circle	Agreia bicolorata JYFC01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_110978_273	Central metabolism	Red	circle	Gordonia Shandongensis Dsm 45094 AUHE01	hypothetical_protein	2
6666666_111003_812	Central metabolism	Red	circle	Gordonia Malaquae Nbrc 108250 BAOP01	putative_RNA_polymerase_sigma_factor	2
6666666_113227_1770	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Streptomyces sp. SS AKXV01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112804_5573	Central metabolism	Red	circle	Pseudonocardia sp. P1 ADUJ01	Phosphoribosylaminoimidazole_carboxylase_ATPase_subunit__EC_4.1.1.21_	2
6666666_104554_5900	Central metabolism	Red	circle	Pseudonocardia sp. P2 AEGE01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104599_649	Central metabolism	Red	circle	Nocardioides alkalitolerans DSM 16699 AUFN01	Retinol_dehydrogenase_13	2
6666666_111024_737	Central metabolism	Red	circle	Gordonia Sihwensis Nbrc 108236 BANU01	Cobyrinic_acid_AC_diamide_synthase	2
6666666_111485_2157	Central metabolism	Red	circle	Timonella senegalensis JC301 CAHH01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
