Enzyme	BGC	Function	Order	Type
Enzyme_194	livipeptin	Non-ribosomal peptide synthetase	194	Secondary
Enzyme_195	livipeptin	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	195	Secondary
Enzyme_196	livipeptin	hypothetical protein	196	Secondary
Enzyme_197	polyketide	Arsenate reductase (EC 1.20.4.1)	197	Secondary
Enzyme_198	polyketide	Thioredoxin reductase (EC 1.8.1.9)	198	Secondary
Enzyme_199	polyketide	B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)	199	Secondary
Enzyme_200	polyketide	Methylmalonyl-CoA mutase (EC 5.4.99.2)	200	Secondary
Enzyme_201	polyketide	hypothetical protein	201	Secondary
Enzyme_202	polyketide	Arsenical resistance operon repressor	202	Secondary
Enzyme_203	polyketide	putative oxidoreductase.	203	Secondary
Enzyme_204	polyketide	putative secreted protein.	204	Secondary
Enzyme_205	polyketide	hypothetical protein	205	Secondary
Enzyme_206	polyketide	modular polyketide synthase	206	Secondary
Enzyme_207	polyketide	3-oxoacyl-ACP synthase III	207	Secondary
Enzyme_208	polyketide	DedA protein	208	Secondary
Enzyme_209	polyketide	Phosphonopyruvate decarboxylase (EC 4.1.1.82)	209	Secondary
Enzyme_210	polyketide	ArsR-family transcriptional regulator	210	Secondary
Enzyme_211	polyketide	putative integral membrane protein	211	Secondary
Enzyme_212	polyketide	hypothetical protein	212	Secondary
Enzyme_213	polyketide	CTP synthase (EC 6.3.4.2)	213	Secondary
Enzyme_214	polyketide	Anaerobic dehydrogenases, typically selenocysteine-containing	214	Secondary
Enzyme_215	polyketide	5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	215	Secondary
Enzyme_216	polyketide	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	216	Secondary
Enzyme_217	polyketide	hypothetical protein	217	Secondary
Enzyme_218	polyketide	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	218	Secondary
Enzyme_219	polyketide	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	219	Secondary
Enzyme_220	polyketide	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	220	Secondary
Enzyme_221	polyketide	Arsenical resistance operon repressor	221	Secondary
Enzyme_222	polyketide	Arsenical resistance operon repressor	222	Secondary
Enzyme_223	SLI-2138	Rod shape-determining protein MreB	223	Secondary
Enzyme_224	SLI-2138	FIG01122502: hypothetical protein	224	Secondary
Enzyme_225	SLI-2138	MoxR-like ATPases	225	Secondary
Enzyme_226	SLI-2138	hypothetical protein	226	Secondary
Enzyme_227	SLI-2138	FIG01131749: hypothetical protein	227	Secondary
Enzyme_228	SLI-2138	putative secreted peptidase	228	Secondary
Enzyme_229	SLI-2138	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	229	Secondary
Enzyme_230	SLI-2138	putative fatty acid synthase	230	Secondary
Enzyme_231	SLI-2138	Possible dicarboxylate carrier protein	231	Secondary
Enzyme_232	SLI-2138	Transcriptional regulator, GntR family	232	Secondary
Enzyme_233	SLI-2138	FIG01121703: hypothetical protein	233	Secondary
Enzyme_234	SLI-2138	Transcriptional regulator, IclR family	234	Secondary
Enzyme_235	SLI-2138	Gluconolactonase (EC 3.1.1.17)	235	Secondary
Enzyme_236	SLI-2138	FIG01129357: hypothetical protein	236	Secondary
