Sequence	Copies	OrganismPercentage	Organismos	Expansions	ExpOverOrg	ExpNum	Function
actinorhodin|6|74_1|Scoe	636	0.2663212435	514	122	1.237354086	0.1918238994	hydroxylacyl-CoA dehydrogenase
actinorhodin|6|75_1|Scoe	10884	0.8937823834	1725	9159	6.309565217	0.8415104741	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)
actinorhodin|6|76_1|Scoe	20061	0.9082901554	1753	18308	11.44381061	0.9126165196	FIG01127617: hypothetical protein
actinorhodin|6|77_1|Scoe	196	0.09637305699	186	10	1.053763441	0.05102040816	hypothetical protein
actinorhodin|6|78_1|Scoe	20077	0.9098445596	1756	18321	11.4333713	0.9125367336	Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase
actinorhodin|6|79_1|Scoe	20002	0.9093264249	1755	18247	11.397151	0.9122587741	putative integral membrane protein
actinorhodin|6|80_1|Scoe	756	0.3015544041	582	174	1.298969072	0.2301587302	hypothetical protein
actinorhodin|6|81_1|Scoe	125	0.05077720207	98	27	1.275510204	0.216	FIG01121294: hypothetical protein
actinorhodin|6|82_1|Scoe	3722	0.7388601036	1426	2296	2.610098177	0.6168726491	FIG01124094: hypothetical protein
actinorhodin|6|83_1|Scoe	3473	0.6191709845	1195	2278	2.906276151	0.6559170746	Acyl-CoA dehydrogenase
actinorhodin|6|84_1|Scoe	614	0.2487046632	480	134	1.279166667	0.2182410423	FIG01134414: hypothetical protein
actinorhodin|6|85_1|Scoe	14217	0.8829015544	1704	12513	8.343309859	0.8801434902	Transcriptional regulator, TetR family
actinorhodin|6|86_1|Scoe	20004	0.9098445596	1756	18248	11.39179954	0.9122175565	FIG01129015: hypothetical protein
actinorhodin|6|87_1|Scoe	13480	0.9202072539	1776	11704	7.59009009	0.8682492582	Hopanoid-associated RND transporter, HpnN
actinorhodin|6|88_1|Scoe	17061	0.8191709845	1581	15480	10.79127135	0.9073325127	actinorhodin cluster activator protein
actinorhodin|6|89_1|Scoe	20000	0.9492227979	1832	18168	10.91703057	0.9084	Short-chain dehydrogenase/reductase SDR
actinorhodin|6|90_1|Scoe	25875	0.914507772	1765	24110	14.66005666	0.9317874396	Polyketide beta-ketoacyl synthase WhiE-KS paralog
actinorhodin|6|91_1|Scoe	25118	0.9139896373	1764	23354	14.23922902	0.9297714786	Polyketide chain length factor WhiE-CLF paralog
actinorhodin|6|92_1|Scoe	1728	0.5549222798	1071	657	1.613445378	0.3802083333	Acyl carrier protein
actinorhodin|6|93_1|Scoe	1729	0.5569948187	1075	654	1.608372093	0.3782533256	actinorhodin polyketide synthase bifunctional cyclase/dehydratase
actinorhodin|6|94_1|Scoe	3237	0.7668393782	1480	1757	2.187162162	0.5427865307	putative polyketide cyclase
actinorhodin|6|95_1|Scoe	7433	0.8518134715	1644	5789	4.521289538	0.7788241625	NADH-FMN oxidoreductase
albaflavenone|7|96_1|Scoe	3313	0.6005181347	1159	2154	2.858498706	0.6501660127	FIG00456465: hypothetical protein
albaflavenone|7|97_1|Scoe	15775	0.8538860104	1648	14127	9.572208738	0.8955309033	putative cytochrome P450
calcium-dependent_antibiotic|4|23_1|Scoe	2914	0.921761658	1779	1135	1.637998876	0.3894989705	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)
calcium-dependent_antibiotic|4|24_1|Scoe	2198	0.9445595855	1823	375	1.205704882	0.1706096451	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)
calcium-dependent_antibiotic|4|25_1|Scoe	2139	0.9150259067	1766	373	1.211211778	0.1743805517	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)
calcium-dependent_antibiotic|4|26_1|Scoe	6890	0.9829015544	1897	4993	3.632050606	0.7246734398	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)
calcium-dependent_antibiotic|4|27_1|Scoe	7434	0.9626943005	1858	5576	4.001076426	0.7500672585	Anthranilate synthase, aminase component (EC 4.1.3.27)
calcium-dependent_antibiotic|4|28_1|Scoe	149	0.07668393782	148	1	1.006756757	0.006711409396	hypothetical protein
calcium-dependent_antibiotic|4|29_1|Scoe	12084	0.9787564767	1889	10195	6.397035469	0.8436775902	Cation-transporting ATPase, E1-E2 family
calcium-dependent_antibiotic|4|30_1|Scoe	20684	0.8082901554	1560	19124	13.25897436	0.924579385	FIG01132787: hypothetical protein
calcium-dependent_antibiotic|4|31_1|Scoe	4960	0.7849740933	1515	3445	3.273927393	0.6945564516	Polymyxin synthetase PmxB
