Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
CENTRALR5P_AMINOACIDS_phosphoribosyl_isomerase_A_1	Seed Enzyme	Orange	circle	391213	Function	1
6666666_212222_1005	Central metabolism	Red	circle	Cyanothece sp ATCC 51472 ATCC 51472 AGJC02	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212444_4079	Central metabolism	Red	circle	Cyanothece sp. ATCC 51142 CP000806.1	Transposase	2
6666666_212138_2587	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Cyanothece sp CCY0110 CCY0110 AAXW01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212288_6261	Central metabolism	Red	circle	Crocosphaera watsonii WH 8501 WH 8501 AADV02	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212212_3679	Central metabolism	Red	circle	Crocosphaera watsonii WH 0005 WH 0005 CAQL01	hypothetical_protein	2
6666666_212226_4769	Central metabolism	Red	circle	Crocosphaera watsonii WH 0402 WH 0402 CAQN01	Peptidase_M50	2
6666666_212279_3848	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Crocosphaera watsonii WH 0003 WH 0003 AESD01	Retron_type_RNA_directed_DNA_polymerase__EC_2.7.7.49_	2
6666666_212238_2485	Central metabolism	Red	circle	Crocosphaera watsonii WH 8502 WH 8502 CAQK01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212099_1782	Central metabolism	Red	circle	Crocosphaera watsonii WH 0401 WH 0401 CAQM01	Uroporphyrinogen_III_methyltransferase__EC_2.1.1.107____Uroporphyrinogen_III_synthase__EC_4.2.1.75_	2
6666666_212460_239	Central metabolism	Red	circle	Cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko AP012549.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212403_341	Central metabolism	Red	circle	Cyanothece sp. PCC 8802 CP001701.1	FIG00560346_hypothetical_protein	2
6666666_212432_347	Central metabolism	Red	circle	Cyanothece sp. PCC 8801 CP001287.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212482_38	Central metabolism	Red	circle	Cyanobacterium stanieri PCC 7202 CP003940.1	Aldo_keto_reductase__EC_1.1.1.274_	2
6666666_212385_601	Central metabolism	Red	circle	Geminocystis sp. NIES-3708 AP014815.1	hypothetical_protein	2
6666666_212486_180	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Cyanobacterium aponinum PCC 10605 CP003947.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212329_2330	Central metabolism	Red	circle	Geminocystis herdmanii PCC 6308 PCC 6308 ALVO01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212437_2061	Central metabolism	Red	circle	Geminocystis sp. NIES-3709 AP014821.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212244_2984	Central metabolism	Red	circle	Gloeocapsa sp PCC 73106 PCC 73106 ALVY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212331_3777	Central metabolism	Red	circle	Microcystis sp T1_4 T1_4 CAIP01	hypothetical_protein	2
6666666_212488_2950	Central metabolism	Red	circle	Microcystis aeruginosa NIES-2481 CP012375.1	FIG00567666_hypothetical_protein	2
6666666_212391_2914	Central metabolism	Red	circle	Microcystis aeruginosa NIES-2549 CP011304.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212392_5461	Central metabolism	Red	circle	Microcystis aeruginosa NIES-843 AP009552.1	hypothetical_protein	1
6666666_212354_4149	Central metabolism	Red	circle	Microcystis aeruginosa PCC 9809 9809 CAIO01	Type_IV_pilus_biogenesis_protein_PilN	2
6666666_212283_2684	Central metabolism	Red	circle	Microcystis aeruginosa PCC 9701 9701 CAIQ01	hypothetical_protein	2
6666666_212368_5331	Central metabolism	Red	circle	Microcystis aeruginosa NIES_88 NIES_88 JXYX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212346_2577	Central metabolism	Red	circle	Microcystis aeruginosa PCC 9806 9806 CAIL01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212274_4302	Central metabolism	Red	circle	Microcystis aeruginosa PCC 9807 9807 CAIM01	INTEGRAL_MEMBRANE_PROTEIN__Rhomboid_family_	2
6666666_212363_3419	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Microcystis aeruginosa DIANCHI905 DIANCHI905 AOCI01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212087_620	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Microcystis aeruginosa PCC 9808 9808 CAIN01	hypothetical_protein	1
6666666_212178_230	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Microcystis aeruginosa PCC 7941 7941 CAIK01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212310_3859	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Microcystis aeruginosa SPC777 SPC777 ASZQ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212144_4263	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Microcystis aeruginosa CACIAM 03 MCIH01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212438_6277	Central metabolism	Red	circle	Microcystis panniformis FACHB-1757 CP011339.1	Phycocyanobilinferredoxin_oxidoreductase_PcyA__EC_1.3.7.5_	2
6666666_212237_221	Central metabolism	Red	circle	Microcystis aeruginosa PCC 9443 9443 CAIJ01	ATP_dependent_Clp_protease_adaptor_protein_ClpS_Cyano2	2
6666666_212167_4648	Central metabolism	Red	circle	Microcystis aeruginosa PCC 9717 9717 CAII01	hypothetical_protein	1
6666666_212308_1971	Central metabolism	Red	circle	Microcystis aeruginosa NIES_44 NIES_44 BBPA01	adenine_specific_DNA_methyltransferase	1
6666666_212229_2707	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Microcystis aeruginosa PCC 9432 9432 CAIH01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212086_3321	Central metabolism	Red	circle	Microcystis aeruginosa PCC 7005 PCC 7005 AQPY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212184_3117	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Microcystis aeruginosa TAIHU98 TAIHU98 ANKQ01	FIG00560309_hypothetical_protein	1
6666666_212422_3247	Central metabolism	Red	circle	Pleurocapsa sp. PCC 7327 CP003590.1	FIG00871720_hypothetical_protein	2
6666666_212413_5183	Central metabolism	Red	circle	Cyanothece sp. PCC 7424 CP001291.1	xenobiotic_reductase_B	2
6666666_212407_1566	Central metabolism	Red	circle	Cyanothece sp. PCC 7822 CP002198.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
