Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
CENTRALR5P_AMINOACIDS_phosphoribosyl_isomerase_A_1	Seed Enzyme	Orange	circle	seed	Function	1
6666666_113169_4652	Central metabolism	Red	circle	Streptomyces violaceoruber JOCE01	putative_isobutyryl_CoA_mutase_chain_B	1
6666666_113127_5403	Central metabolism	Red	circle	Streptomyces lividans 1326 APVM01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_112876_2066	Central metabolism	Red	circle	Streptomyces coelicolor A3(2) NC_003888.3	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_147136_5545	Central metabolism	Red	circle	Streptomyces lividans TK24 NZ_CP009124.1	FIG01125978_hypothetical_protein	1
6666666_147092_3707	Central metabolism	Red	circle	Streptomyces hygroscopicus subsp. jinggangensis 5008 NC_017765.1	putative_reductase	1
6666666_104714_7465	Central metabolism	Red	circle	Streptomyces Flaveus JOCU01	Protein_serine_threonine_phosphatase_PrpC_regulation_of_stationary_phase	1
6666666_104232_8037	Central metabolism	Red	circle	Streptomyces sp. NRRL F-3307 JOIC01	Glutamine_synthetase_type_I__EC_6.3.1.2_	1
6666666_104345_2058	Central metabolism	Red	circle	Streptomyces sp. NRRL WC-3744 JOCJ01	3_oxoacyl_acyl_carrier_protein_reductase__EC_1.1.1.100_	1
6666666_113067_8081	Central metabolism	Red	circle	Streptomyces sp. NRRL WC-3725 JOJH01	putative_two_component_system_sensor_kinase	1
6666666_103178_7726	Central metabolism	Red	circle	Streptomyces flaveolus JNWV01	Mrp_protein_homolog	1
6666666_104120_6206	Central metabolism	Red	circle	Streptomyces sp. NRRL S-1896 JOIV01	FIG001943_hypothetical_protein_YajQ	1
6666666_113184_2098	Central metabolism	Red	circle	Streptomyces alboflavus JNXT01	nitroreductase	1
6666666_113174_1089	Central metabolism	Red	circle	Streptomyces ruber JOAQ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_113143_1437	Central metabolism	Red	circle	Streptomyces cellulosae JOEV01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_103215_6617	Central metabolism	Red	circle	Streptomyces griseofuscus JOFU01	hypothetical_protein	1
6666666_112931_2996	Central metabolism	Red	circle	Streptomyces aureocirculatus JOAR01	Aconitate_hydratase__EC_4.2.1.3_	1
6666666_104191_5152	Central metabolism	Red	circle	Streptomyces sp. NBRC 110035 BBNN01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_112835_519	Central metabolism	Red	circle	Streptomyces sp. NRRL WC-3626 JOCA01	putative_secreted_protein	1
6666666_113287_5061	Central metabolism	Red	circle	Streptomyces sp. 303MFCol52 ARTR01	Putative_threonine_efflux_protein	1
6666666_113132_6133	Central metabolism	Red	circle	Streptomyces sp. NRRL F-2305 JOFW01	N_acetylglucosamine_1_phosphate_uridyltransferase__EC_2.7.7.23____Glucosamine_1_phosphate_N_acetyltransferase__EC_2.3.1.157_	1
6666666_112918_2866	Central metabolism	Red	circle	Streptomyces sp. NRRL B-1347 JOJM01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_103202_3698	Central metabolism	Red	circle	Streptomyces acidiscabies 84-104 AHBF01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_113146_3364	Central metabolism	Red	circle	Streptomyces sp. 142MFCol31 AUKV01	Minor_teichoic_acid_biosynthesis_protein_GgaB	1
6666666_147138_6557	Central metabolism	Red	circle	Streptomyces avermitilis MA-4680 = NBRC 14893 NC_003155.4	FIG01136666_hypothetical_protein	1
6666666_112915_8570	Central metabolism	Red	circle	Streptomyces sp. R1-NS-10 BARG01	Aldehyde_dehydrogenase__EC_1.2.1.3_	1
6666666_113268_3217	Central metabolism	Red	circle	Streptomyces sp. NRRL F-525 JNXE01	putative_integral_membrane_transporter	1
6666666_113124_5424	Central metabolism	Red	circle	Streptomyces xylophagus JNWO01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_112864_3226	Central metabolism	Red	circle	Streptomyces prunicolor NBRC 13075 BARF01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_113083_8184	Central metabolism	Red	circle	Streptomyces mirabilis JQLE01	hypothetical_protein	1
6666666_113249_5822	Central metabolism	Red	circle	Streptomyces turgidiscabies Car8 AEJB01	A_factor_biosynthesis_protein_AfsA	1
6666666_113277_6147	Central metabolism	Red	circle	Streptomyces sp. HmicA12 ARED01	Aminomethyltransferase__glycine_cleavage_system_T_protein___EC_2.1.2.10_	1
6666666_113181_2264	Central metabolism	Red	circle	Streptomyces aureus JNZD01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_112833_6214	Central metabolism	Red	circle	Streptomyces sp. CNH189 AZUS01	Amidophosphoribosyltransferase__EC_2.4.2.14_	1
6666666_113007_1742	Central metabolism	Red	circle	Streptomyces griseoflavus Tu4000 ACFA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_147054_6462	Central metabolism	Red	circle	Streptomyces davawensis strain JCM 4913 NC_020504.1	Low_molecular_weight_protein_tyrosine_phosphatase_Wzb__EC_3.1.3.48_	1
6666666_104213_4740	Central metabolism	Red	circle	Streptomyces sp. LaPpAH-108 AREG01	Ribonuclease_PH__EC_2.7.7.56_	1
6666666_103346_1129	Central metabolism	Red	circle	Streptomyces seoulensis JNXP01	Muramoyltetrapeptide_carboxypeptidase__EC_3.4.17.13_	1
6666666_104205_2974	Central metabolism	Red	circle	Streptomyces sp. NRRL F-2799 JOIF01	Nucleoside_triphosphate_pyrophosphohydrolase_MazG__EC_3.6.1.8_	1
6666666_112908_4806	Central metabolism	Red	circle	Streptomyces sp. NRRL F-5527 JOHL01	putative_transcriptional_regulator	1
6666666_113257_4970	Central metabolism	Red	circle	Streptomyces sp. NRRL S-1314 JOHU01	putative_transcriptional_regulator	1
6666666_113087_751	Central metabolism	Red	circle	Streptomyces gancidicus BKS 13-15 AOHP01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_111169_5784	Central metabolism	Red	circle	Actinospica acidiphila JNYX01	FIG01121629_hypothetical_protein	1
6666666_113002_5108	Central metabolism	Red	circle	Streptomyces griseorubens JJMG01	Substrate_specific_component_CbrT_of_predicted_cobalamin_ECF_transporter	1
6666666_119636_2185	Central metabolism	Red	circle	Streptomyces collinus Tu 365 NC_021985.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_103249_5387	Central metabolism	Red	circle	Streptomyces sp. e14 ACUR01	Peptidyl_prolyl_cis_trans_isomerase__EC_5.2.1.8_	1
6666666_103317_5620	Central metabolism	Red	circle	Streptomyces sp. Amel2xE9 ARPE01	L_serine_dehydratase__EC_4.3.1.17_	1
6666666_104218_577	Central metabolism	Red	circle	Streptomyces sp. NRRL S-340 JOIY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_104331_6612	Central metabolism	Red	circle	Streptomyces sp. PsTaAH-124 AREJ01	Ankyrin	1
6666666_104325_2798	Central metabolism	Red	circle	Streptomyces sp. Tu 6176 JFJQ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_104224_8354	Central metabolism	Red	circle	Streptomyces sp. NRRL S-813 JODG01	FIG01128355_hypothetical_protein	1
6666666_104189_1419	Central metabolism	Red	circle	Streptomyces sp. NRRL S-1022 JOIU01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_104227_3777	Central metabolism	Red	circle	Streptomyces sp. NRRL F-6676 JOHS01	4_nitrophenylphosphatase__EC_3.1.3.41_	1
6666666_104230_4219	Central metabolism	Red	circle	Streptomyces sp. NRRL F-6674 JNXF01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_104188_3652	Central metabolism	Red	circle	Streptomyces sp. NRRL F-6677 JOHP01	glycine_rich_secreted_protein	1
6666666_104208_3414	Central metabolism	Red	circle	Streptomyces sp. NRRL B-12105 JNZW01	hypothetical_protein	1
6666666_103187_1013	Central metabolism	Red	circle	Streptomyces griseoaurantiacus M045 AEYX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_112992_5719	Central metabolism	Red	circle	Streptomyces sp. S4 CADY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_113200_1299	Central metabolism	Red	circle	Streptomyces sp. SM8 AMPN01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_113282_1082	Central metabolism	Red	circle	Streptomyces sp. NRRL F-6628 JOHX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_112943_2334	Central metabolism	Red	circle	Streptomyces wadayamensis JHDU01	FIG01123251_hypothetical_protein	1
6666666_113211_3330	Central metabolism	Red	circle	Streptomyces sp. LaPpAH-202 ARDM01	putative_membrane_protein	1
6666666_113300_3924	Central metabolism	Red	circle	Streptomyces sp. CNY228 ARIN01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_146833_4843	Central metabolism	Red	circle	Streptomyces albus J1074 NC_020990.1	Protein_YidD	1
6666666_113011_966	Central metabolism	Red	circle	Streptomyces albidoflavus JOII01	CAIB_BAIF_family_protein	1
6666666_113120_3256	Central metabolism	Red	circle	Streptomyces sp. NRRL B-3253 JOGQ01	probable_amino_acid_ABC_transporter_integral_membrane_protein	1
6666666_113206_2261	Central metabolism	Red	circle	Streptomyces sp. M10 AMZL01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16____Acting_phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_113055_5979	Central metabolism	Red	circle	Streptomyces sp. CNQ431 JTCK01	putative_integral_membrane_efflux_protein	1
6666666_147090_735	Central metabolism	Red	circle	Streptomyces sp. PVA 94-07 NZ_CM002273.1	hypothetical_protein	1
6666666_147078_3602	Central metabolism	Red	circle	Streptomyces sp. GBA 94-10 NZ_CM002271.1	aldose_epimerase_family_protein	1
6666666_113126_993	Central metabolism	Red	circle	Streptomyces sp. NRRL F-5126 JOFZ01	FIG01136769_hypothetical_protein	1
6666666_112956_5347	Central metabolism	Red	circle	Streptomyces yeochonensis CN732 JQNR01	Transport_ATP_binding_protein_CydCD	1
