id,identity_to_query
HIS4_STRCO/1-240,1
UniRef100_A0A317YLD0/269-451,0.087
UniRef100_A0A0G4KPZ7/8-187,0.087
UniRef100_UPI0009BE4EAB/275-437,0.087
UniRef100_A0A2N9GB15/116-277,0.092
UniRef100_A0A2P5XI79/217-379,0.092
UniRef100_UPI000D1882F5/273-434,0.092
UniRef100_A0A0A0K785/317-478,0.092
UniRef100_A0A2W4LFG8/1-133,0.092
UniRef100_E7KKL8/236-418,0.096
UniRef100_UPI000D18ABF4/273-442,0.096
UniRef100_A0A2G5DNW3/263-424,0.096
UniRef100_A0A2G5DPP6/263-423,0.096
UniRef100_A0A2G5DNX4/263-423,0.096
UniRef100_A0A1Q9BZ21/98-301,0.096
UniRef100_A0A0B7JZ74/228-399,0.1
UniRef100_A0A0E0CY88/310-464,0.1
UniRef100_A0A2N9HJU3/80-269,0.1
UniRef100_UPI000C20222D/282-453,0.104
UniRef100_UPI000C22A7C5/283-454,0.104
UniRef100_A0A2P2LBN6/281-453,0.104
UniRef100_A0A2M9DNR7/215-387,0.104
UniRef100_A0A2N9GJP0/100-272,0.104
UniRef100_UPI000B8B133F/280-456,0.104
UniRef100_A0A0A1NTT0/29-190,0.104
UniRef100_A0A2I0B5P0/262-434,0.104
UniRef100_A0A1V5A5L1/2-151,0.104
UniRef100_A0A2E9KVA6/2-133,0.104
UniRef100_UPI000E1EFA21/142-275,0.108
UniRef100_A0A2N1PZX9/2-156,0.108
UniRef100_X1JJL9/1-140,0.108
UniRef100_A0A0D2SFW1/276-451,0.108
UniRef100_K2BA33/2-166,0.108
UniRef100_A0A382YSN5/1-130,0.108
UniRef100_L2FYQ9/1-150,0.108
UniRef100_A0A2V9NUN9/1-125,0.108
UniRef100_A0A163Y1P7/1-133,0.108
UniRef100_A0A2G6FQC4/217-443,0.113
UniRef100_R6WQK0/2-152,0.113
UniRef100_W4G6R7/224-443,0.113
UniRef100_A0A352RJM6/1-152,0.113
UniRef100_A0A2K2C487/274-485,0.113
UniRef100_A0A351B146/1-146,0.113
UniRef100_U1HU29/290-487,0.113
UniRef100_A0A2D8LXG5/2-135,0.113
UniRef100_A0A1X2IRQ4/222-449,0.117
UniRef100_A0A318CY16/2-135,0.117
UniRef100_UPI000660D6E8/175-303,0.117
UniRef100_K1SZP7/4-144,0.117
UniRef100_A0A2N6AS36/1-130,0.117
UniRef100_A0A382C242/3-138,0.117
UniRef100_A0A2D6YD03/1-130,0.117
UniRef100_UPI0009FF2984/3-132,0.121
UniRef100_UPI0009FF1ECF/7-132,0.121
UniRef100_UPI000358FD49/117-245,0.121
UniRef100_A0A0D2TAV2/208-412,0.121
UniRef100_T1AB39/2-133,0.121
UniRef100_UPI000A9DF15F/1-132,0.121
UniRef100_A0A2D7HQK1/4-182,0.121
UniRef100_A0A2N3F308/1-136,0.121
UniRef100_A0A0B8PZZ6/2-147,0.121
UniRef100_A0A0B8QQ98/2-147,0.121
UniRef100_UPI0009ADE899/2-148,0.121
UniRef100_A0A158SNR5/1-157,0.121
UniRef100_A0A382RCC3/4-168,0.121
UniRef100_A0A2H0MP11/239-393,0.125
UniRef100_UPI0007383A5D/230-371,0.125
UniRef100_A0A0L9TE25/251-488,0.125
UniRef100_A0A2I0VZP4/1-227,0.125
UniRef100_A0A0D2J0E1/1-227,0.125
UniRef100_A0A382ZFR6/2-138,0.125
UniRef100_J7GY95/2-231,0.125
UniRef100_A0A356X309/1-133,0.125
UniRef100_A0A2E1MY89/6-232,0.125
UniRef100_A0A2M8NH36/1-135,0.125
UniRef100_A0A1W1BBC1/1-232,0.125
UniRef100_A0A0T8PWF4/2-143,0.125
UniRef100_A0A377PH07/10-174,0.125
UniRef100_A0A351Q3K4/1-135,0.125
UniRef100_A0A2V9A1U5/1-139,0.125
UniRef100_A2BSD9/5-232,0.125
UniRef100_S2S2M6/1-140,0.125
UniRef100_A0A382UFN7/2-150,0.125
